순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"46,800","-1,150","-2.4","12,784,800","598,306,028,303","46,850","47,150","46,600","300,424,395,960,000","16.52","6,419,324,700","3,378,102,918","52.62",2317
2,000660,SK하이닉스,"83,500","-1,700","-2.0","3,838,303","319,415,630,000","83,000","84,000","82,500","60,788,197,477,500","3.34","728,002,365","366,676,587","50.37",
3,068270,셀트리온,"298,000","-4,000","-1.3","489,616","147,028,151,500","300,500","304,500","296,000","37,367,979,094,000","2.05","125,395,903","27,877,956","22.23",
4,005935,삼성전자우,"37,200","-1,050","-2.8","1,475,939","55,238,228,150","37,000","37,800","37,000","33,614,998,800,000","1.85","903,629,000","759,040,064","84.00",
5,005490,POSCO,"322,000","-9,000","-2.7","267,029","87,287,764,000","336,500","337,000","321,000","28,074,160,870,000","1.54","87,186,835","50,216,670","57.60",
6,005380,현대차,"125,000","-2,500","-2.0","1,101,059","137,849,139,787","126,000","126,500","123,000","27,534,559,875,000","1.51","220,276,479","97,947,770","44.47",
7,207940,삼성바이오로직스,"409,000","-9,000","-2.2","83,578","34,435,906,500","416,000","421,000","408,500","27,061,485,000,000","1.49","66,165,000","6,284,999","9.50",
8,035420,NAVER,"747,000","8,000","1.1","136,537","101,501,340,500","738,000","751,000","726,000","24,623,121,213,000","1.35","32,962,679","19,428,014","58.94",
9,051910,LG화학,"334,000","-1,500","-0.4","233,374","78,218,348,000","335,000","338,500","332,000","23,577,842,562,000","1.30","70,592,343","26,843,193","38.03",
10,051900,LG생활건강,"1,424,000","-9,000","-0.6","41,415","59,458,818,749","1,430,000","1,452,000","1,419,000","22,240,312,528,000","1.22","15,618,197","7,285,017","46.64",
11,028260,삼성물산,"116,500","-1,500","-1.3","148,653","17,405,598,000","118,000","118,000","116,500","22,098,890,009,500","1.22","189,690,043","21,332,220","11.25",
12,105560,KB금융,"52,400","-1,700","-3.1","1,328,080","69,939,145,390","54,000","54,100","52,200","21,909,044,538,800","1.20","418,111,537","290,678,417","69.52",
13,012330,현대모비스,"214,000","-1,500","-0.7","131,608","28,187,916,000","215,500","216,000","213,000","20,831,586,682,000","1.15","97,343,863","47,032,984","48.32",
14,015760,한국전력,"32,200","-850","-2.6","1,667,835","53,991,366,987","33,000","33,100","32,000","20,671,243,279,400","1.14","641,964,077","185,072,283","28.83",
15,055550,신한지주,"43,000","-1,100","-2.5","961,634","41,675,254,950","43,650","44,050","43,000","20,390,582,241,000","1.12","474,199,587","330,101,876","69.61",
16,032830,삼성생명,"98,000","-1,100","-1.1","189,386","18,598,674,400","99,400","99,400","97,500","19,600,000,000,000","1.08","200,000,000","32,250,723","16.13",
17,090430,아모레퍼시픽,"320,000","11,000","3.6","366,189","117,915,597,500","314,500","326,500","313,000","18,706,716,800,000","1.03","58,458,490","20,267,411","34.67",
18,017670,SK텔레콤,"231,500","-3,500","-1.5","136,356","31,668,082,500","233,000","236,000","230,500","18,692,632,096,500","1.03","80,745,711","33,439,485","41.41",
19,096770,SK이노베이션,"201,500","-1,000","-0.5","214,781","43,033,017,500","200,500","203,000","198,500","18,631,811,146,000","1.02","92,465,564","37,284,158","40.32",
