순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"47,650","-550","-1.1","17,080,892","819,652,618,343","48,500","48,700","47,650","305,880,821,955,000","16.14","6,419,324,700","3,389,440,966","52.80",2314
2,000660,SK하이닉스,"87,000","700","0.8","2,945,006","256,441,655,364","87,400","87,800","86,100","63,336,205,755,000","3.34","728,002,365","367,663,225","50.50",
3,068270,셀트리온,"298,500","18,500","6.6","1,851,466","543,856,828,500","281,000","300,000","280,000","37,430,677,045,500","1.98","125,395,903","27,662,000","22.06",
4,005935,삼성전자우,"37,800","-950","-2.4","2,613,261","99,354,572,560","39,100","39,150","37,800","34,157,176,200,000","1.80","903,629,000","759,159,293","84.01",
5,005490,POSCO,"365,000","-4,500","-1.2","233,528","85,431,199,850","374,500","374,500","363,000","31,823,194,775,000","1.68","87,186,835","50,564,272","58.00",
6,005380,현대차,"134,000","-1,000","-0.7","762,750","102,805,168,319","136,000","136,500","133,000","29,517,048,186,000","1.56","220,276,479","98,789,525","44.85",
7,207940,삼성바이오로직스,"408,000","0","0.0","184,289","75,546,243,000","410,500","415,500","406,000","26,995,320,000,000","1.42","66,165,000","6,312,762","9.54",
8,051910,LG화학,"373,500","3,500","1.0","271,394","102,090,325,000","377,000","380,000","372,500","26,366,240,110,500","1.39","70,592,343","27,385,044","38.79",
9,028260,삼성물산,"122,000","-500","-0.4","391,941","47,853,913,500","123,500","124,000","121,000","23,142,185,246,000","1.22","189,690,043","21,205,346","11.18",
10,105560,KB금융,"55,000","-1,000","-1.8","1,356,778","74,169,180,900","55,900","55,900","53,800","22,996,134,535,000","1.21","418,111,537","291,262,002","69.66",
11,035420,NAVER,"690,000","-17,000","-2.4","140,302","96,787,338,687","705,000","706,000","687,000","22,744,248,510,000","1.20","32,962,679","19,435,191","58.96",
12,015760,한국전력,"35,000","450","1.3","1,732,899","61,217,048,562","34,500","35,700","34,500","22,468,742,695,000","1.19","641,964,077","186,503,217","29.05",
13,051900,LG생활건강,"1,423,000","-18,000","-1.2","31,382","44,998,877,000","1,459,000","1,459,000","1,422,000","22,224,694,331,000","1.17","15,618,197","7,306,836","46.78",
14,055550,신한지주,"45,500","-1,200","-2.6","1,555,410","70,966,917,250","46,250","46,300","45,150","21,576,081,208,500","1.14","474,199,587","331,537,532","69.92",
15,012330,현대모비스,"219,000","-4,000","-1.8","539,275","118,644,098,500","222,500","222,500","219,000","21,318,305,997,000","1.12","97,343,863","46,925,988","48.21",
16,032830,삼성생명,"100,500","-3,500","-3.4","618,271","62,321,394,600","104,000","104,000","99,900","20,100,000,000,000","1.06","200,000,000","32,217,020","16.11",
17,096770,SK이노베이션,"214,500","1,500","0.7","267,406","57,367,290,694","213,500","216,000","212,500","19,833,863,478,000","1.05","92,465,564","37,929,088","41.02",
18,017670,SK텔레콤,"234,500","-7,000","-2.9","383,841","91,285,040,000","241,500","242,000","234,500","18,934,869,229,500","1.00","80,745,711","33,594,161","41.60",
19,034730,SK,"269,000","-5,500","-2.0","226,904","60,952,849,000","275,000","276,000","266,000","18,926,919,893,000","1.00","70,360,297","17,681,559","25.13",
20,090430,아모레퍼시픽,"308,000","-13,000","-4.0","254,526","79,259,919,500","323,500","323,500","306,000","18,005,214,920,000","0.95","58,458,490","20,010,748","34.23",
21,006400,삼성SDI,"235,500","8,500","3.7","635,346","149,275,878,640","233,000","237,000","231,000","16,194,046,815,000","0.85","68,764,530","27,625,605","40.17",
22,091990,셀트리온헬스케어,"113,000","4,500","4.2","2,045,671","230,678,001,000","108,700","115,000","108,500","15,878,333,312,000","0.84","140,516,224","46,785,998","33.30",
23,018260,삼성에스디에스,"196,500","-32,000","-14.0","897,131","181,344,336,000","223,500","224,000","195,000","15,204,737,700,000","0.80","77,377,800","9,061,921","11.71",
24,066570,LG전자,"90,900","-2,700","-2.9","990,542","91,319,950,900","94,500","94,500","90,800","14,875,586,292,600","0.79","163,647,814","58,463,478","35.73",
25,033780,KT&G,"100,500","-2,000","-2.0","406,458","41,005,865,800","102,500","103,000","99,900","13,797,895,948,500","0.73","137,292,497","73,006,267","53.18",
26,086790,하나금융지주,"44,000","-1,200","-2.6","1,280,639","56,293,209,900","45,200","45,200","43,300","13,210,650,728,000","0.70","300,242,062","215,290,168","71.71",
27,000270,기아차,"32,200","-50","-0.2","973,900","31,425,568,200","32,650","32,650","32,100","13,052,699,773,400","0.69","405,363,347","156,472,875","38.60",
