순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"46,250","100","0.2","8,776,763","408,109,538,714","46,700","47,050","46,050","296,893,767,375,000","16.65","6,419,324,700","3,376,897,215","52.61",2318
2,000660,SK하이닉스,"85,000","-1,100","-1.3","2,744,382","235,835,060,100","87,800","87,800","84,400","61,880,201,025,000","3.47","728,002,365","369,401,101","50.74",
3,068270,셀트리온,"291,500","-11,500","-3.8","735,433","217,108,704,500","301,000","302,500","290,500","36,552,905,724,500","2.05","125,395,903","27,714,729","22.10",
4,005935,삼성전자우,"36,800","0","0.0","761,142","28,067,934,600","37,050","37,400","36,600","33,253,547,200,000","1.87","903,629,000","758,707,767","83.96",
5,207940,삼성바이오로직스,"421,500","-7,500","-1.8","109,685","46,600,611,000","428,500","431,000","420,000","27,888,547,500,000","1.56","66,165,000","6,280,373","9.49",
6,005490,POSCO,"305,000","-9,000","-2.9","200,106","61,526,108,000","310,500","313,500","303,500","26,591,984,675,000","1.49","87,186,835","50,205,420","57.58",
7,005380,현대차,"119,500","-2,500","-2.0","510,210","61,096,958,500","120,500","122,500","118,000","26,323,039,240,500","1.48","220,276,479","98,127,932","44.55",
8,035420,NAVER,"768,000","21,000","2.8","179,939","138,554,269,000","769,000","779,000","760,000","25,315,337,472,000","1.42","32,962,679","19,602,365","59.47",
9,051910,LG화학,"317,500","0","0.0","151,246","48,456,300,500","318,500","324,500","317,000","22,413,068,902,500","1.26","70,592,343","26,763,111","37.91",
10,105560,KB금융,"51,900","-100","-0.2","475,782","24,717,972,500","51,600","52,400","51,300","21,699,988,770,300","1.22","418,111,537","290,806,758","69.55",
11,028260,삼성물산,"113,500","1,000","0.9","241,169","27,466,954,500","112,500","115,500","112,500","21,529,819,880,500","1.21","189,690,043","21,259,425","11.21",
12,051900,LG생활건강,"1,328,000","-7,000","-0.5","44,806","59,531,534,000","1,336,000","1,337,000","1,320,000","20,740,965,616,000","1.16","15,618,197","7,279,267","46.61",
13,015760,한국전력,"32,100","400","1.3","949,731","30,493,355,350","31,500","32,450","31,300","20,607,046,871,700","1.16","641,964,077","184,581,654","28.75",
14,055550,신한지주,"42,800","-150","-0.4","497,383","21,246,738,500","42,350","43,100","42,350","20,295,742,323,600","1.14","474,199,587","330,113,868","69.61",
15,012330,현대모비스,"198,500","-6,500","-3.2","227,267","45,406,899,500","203,000","205,000","197,500","19,322,756,805,500","1.08","97,343,863","47,173,539","48.46",
16,032830,삼성생명,"96,300","-300","-0.3","103,656","9,988,337,200","95,800","97,100","95,500","19,260,000,000,000","1.08","200,000,000","32,271,358","16.14",
17,017670,SK텔레콤,"228,500","-500","-0.2","89,207","20,309,027,000","227,500","229,500","225,500","18,450,394,963,500","1.03","80,745,711","33,461,411","41.44",
18,034730,SK,"249,000","0","0.0","57,096","14,240,035,500","246,500","252,000","246,500","17,519,713,953,000","0.98","70,360,297","17,809,864","25.31",
19,090430,아모레퍼시픽,"297,000","-12,500","-4.0","155,684","46,740,618,000","305,000","309,000","296,000","17,362,171,530,000","0.97","58,458,490","20,325,583","34.77",
20,096770,SK이노베이션,"186,500","2,000","1.1","222,831","41,586,628,500","182,500","188,500","182,500","17,244,827,686,000","0.97","92,465,564","37,183,905","40.21",
21,018260,삼성에스디에스,"196,500","-500","-0.2","50,062","9,902,093,500","195,000","201,500","195,000","15,204,737,700,000","0.85","77,377,800","9,198,193","11.89",
