순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"44,550","-500","-1.1","12,995,269","580,625,526,020","44,900","45,100","44,500","285,980,915,385,000","15.81","6,419,324,700","3,370,397,660","52.50",2336
2,000660,SK하이닉스,"75,100","-1,500","-2.0","4,330,147","325,308,949,615","76,200","76,200","74,700","54,672,977,611,500","3.02","728,002,365","357,024,076","49.04",
3,068270,셀트리온,"285,000","10,500","3.8","1,043,369","295,410,778,500","276,500","287,500","274,500","35,737,832,355,000","1.98","125,395,903","27,746,936","22.13",
4,005935,삼성전자우,"35,600","-450","-1.2","794,199","28,412,337,225","36,150","36,200","35,600","32,169,192,400,000","1.78","903,629,000","760,638,455","84.18",
5,207940,삼성바이오로직스,"467,500","1,000","0.2","133,921","62,978,758,000","470,000","474,500","465,500","30,932,137,500,000","1.71","66,165,000","6,519,223","9.85",
6,005380,현대차,"129,500","1,500","1.2","340,635","44,125,935,500","128,500","131,000","128,000","27,670,030,216,500","1.53","213,668,187","98,671,272","46.18",
7,005490,POSCO,"291,500","-500","-0.2","397,282","116,575,946,000","295,000","298,000","291,500","25,414,962,402,500","1.41","87,186,835","48,629,128","55.78",
8,051910,LG화학,"343,500","2,500","0.7","180,103","62,145,502,100","343,000","348,500","341,500","24,248,469,820,500","1.34","70,592,343","26,588,338","37.66",
9,035420,NAVER,"730,000","4,000","0.6","58,216","42,467,746,506","730,000","734,000","726,000","24,062,755,670,000","1.33","32,962,679","20,044,733","60.81",
10,028260,삼성물산,"125,000","-1,000","-0.8","178,971","22,439,830,500","126,500","127,000","124,500","23,711,255,375,000","1.31","189,690,043","22,637,196","11.93",
11,017670,SK텔레콤,"274,000","2,500","0.9","215,245","58,721,923,000","272,000","275,000","270,500","22,124,324,814,000","1.22","80,745,711","34,396,712","42.60",
12,012330,현대모비스,"222,000","-500","-0.2","135,920","30,158,922,730","223,000","223,000","220,500","21,610,337,586,000","1.20","97,343,863","47,248,588","48.54",
13,105560,KB금융,"51,400","300","0.6","499,800","25,590,579,084","51,300","51,400","51,000","21,490,933,001,800","1.19","418,111,537","293,795,776","70.27",
14,055550,신한지주,"42,750","700","1.7","1,182,587","50,491,700,100","42,400","42,950","42,300","20,272,032,344,250","1.12","474,199,587","328,595,776","69.29",
15,015760,한국전력,"30,300","-50","-0.2","880,851","26,754,057,300","30,400","30,650","30,200","19,451,511,533,100","1.08","641,964,077","179,841,179","28.01",
16,034730,SK,"269,500","2,500","0.9","66,661","17,838,530,500","268,000","270,000","265,500","18,962,100,041,500","1.05","70,360,297","17,973,504","25.54",
17,051900,LG생활건강,"1,201,000","5,000","0.4","28,607","34,250,915,000","1,200,000","1,207,000","1,186,000","18,757,454,597,000","1.04","15,618,197","7,174,071","45.93",
18,018260,삼성에스디에스,"241,500","-1,500","-0.6","94,013","22,622,031,500","244,000","244,000","239,500","18,686,738,700,000","1.03","77,377,800","9,573,217","12.37",
19,096770,SK이노베이션,"201,500","-1,000","-0.5","177,501","35,795,676,000","200,500","203,000","200,500","18,631,811,146,000","1.03","92,465,564","36,928,984","39.94",
20,032830,삼성생명,"91,600","-400","-0.4","186,091","16,986,433,100","92,100","92,100","90,900","18,320,000,000,000","1.01","200,000,000","32,280,264","16.14",
21,006400,삼성SDI,"247,500","-2,000","-0.8","409,317","101,306,625,500","251,500","254,000","241,500","17,019,221,175,000","0.94","68,764,530","26,448,498","38.46",
22,090430,아모레퍼시픽,"257,500","1,000","0.4","111,683","28,591,697,500","257,500","259,500","255,000","15,053,061,175,000","0.83","58,458,490","20,319,518","34.76",
23,010950,S-Oil,"125,500","-500","-0.4","308,112","38,486,602,500","126,000","127,000","123,500","14,129,140,396,000","0.78","112,582,792","87,421,844","77.65",
24,033780,KT&G,"102,500","0","0.0","174,770","17,870,908,750","102,500","102,500","102,000","14,072,480,942,500","0.78","137,292,497","74,128,381","53.99",
25,000270,기아차,"34,400","350","1.0","798,499","27,418,981,350","34,300","34,500","34,100","13,944,499,136,800","0.77","405,363,347","163,374,718","40.30",
26,091990,셀트리온헬스케어,"95,800","3,100","3.3","1,037,467","99,292,337,600","93,000","96,800","92,900","13,461,964,394,200","0.74","140,521,549","46,082,301","32.79",
27,086790,하나금융지주,"42,500","300","0.7","598,204","25,316,653,283","42,200","42,500","42,050","12,760,287,635,000","0.71","300,242,062","214,084,766","71.30",
28,000810,삼성화재,"261,500","1,500","0.6","58,925","15,359,155,300","261,500","262,000","260,000","12,388,519,875,500","0.69","47,374,837","23,865,249","50.38",
29,003550,LG,"71,600","700","1.0","180,139","12,836,698,900","71,200","71,600","70,800","12,355,090,579,600","0.68","172,557,131","59,419,785","34.43",
30,066570,LG전자,"72,100","-700","-1.0","852,910","61,668,609,200","73,200","73,500","71,900","11,799,007,389,400","0.65","163,647,814","51,426,305","31.42",
31,000030,우리은행,"16,300","100","0.6","1,056,142","17,154,944,350","16,250","16,350","16,150","11,018,800,000,000","0.61","676,000,000","185,788,871","27.48",
32,009150,삼성전기,"146,500","-6,500","-4.2","1,756,437","258,112,181,000","153,500","155,000","144,000","10,942,626,464,000","0.61","74,693,696","22,312,708","29.87",
33,011170,롯데케미칼,"288,000","500","0.2","275,191","78,246,558,500","284,500","290,000","277,000","9,871,320,672,000","0.55","34,275,419","10,503,155","30.64",
34,251270,넷마블,"115,000","2,500","2.2","249,953","28,438,191,500","112,500","115,000","111,000","9,799,651,515,000","0.54","85,214,361","21,492,976","25.22",
35,036570,엔씨소프트,"423,500","-1,500","-0.4","80,426","34,122,686,000","421,000","427,500","420,500","9,291,175,817,000","0.51","21,939,022","10,957,307","49.94",
36,035720,카카오,"120,000","3,500","3.0","344,739","41,046,632,500","116,500","120,500","116,500","9,155,014,680,000","0.51","76,291,789","19,313,054","25.31",
37,009540,현대중공업,"127,000","3,000","2.4","301,326","38,125,991,500","125,500","128,000","125,000","8,784,009,102,000","0.49","69,165,426","11,189,516","16.18",
38,024110,기업은행,"14,550","0","0.0","713,871","10,399,423,100","14,550","14,650","14,500","8,147,691,758,250","0.45","559,978,815","132,594,744","23.68",
39,000720,현대건설,"68,900","100","0.2","1,488,062","100,954,842,400","69,000","69,000","66,300","7,672,412,208,500","0.42","111,355,765","24,252,842","21.78",
40,030200,KT,"29,150","500","1.8","660,844","19,043,784,400","28,650","29,150","28,600","7,611,409,203,200","0.42","261,111,808","127,944,786","49.00",
41,002790,아모레G,"92,100","-900","-1.0","96,279","8,851,012,700","93,600","93,600","91,400","7,594,398,378,000","0.42","82,458,180","16,957,811","20.57",
42,010130,고려아연,"397,000","-3,000","-0.8","34,607","13,678,715,000","406,000","406,000","390,000","7,491,390,000,000","0.41","18,870,000","4,373,729","23.18",
43,034220,LG디스플레이,"20,350","200","1.0","1,607,003","32,526,664,650","20,200","20,400","20,050","7,281,549,495,000","0.40","357,815,700","83,970,171","23.47",
44,032640,LG유플러스,"16,600","800","5.1","3,220,757","52,308,955,200","15,950","16,600","15,900","7,247,748,592,600","0.40","436,611,361","180,963,626","41.45",
45,004020,현대제철,"53,800","0","0.0","338,630","18,200,689,500","54,200","54,800","53,100","7,179,383,233,000","0.40","133,445,785","32,511,156","24.36",
46,021240,코웨이,"94,300","200","0.2","104,587","9,814,114,900","94,400","94,400","92,500","6,959,304,071,700","0.38","73,799,619","44,619,196","60.46",
47,018880,한온시스템,"12,150","-300","-2.4","1,076,037","13,109,992,450","12,500","12,550","12,000","6,485,670,000,000","0.36","533,800,000","105,426,688","19.75",
48,267250,현대중공업지주,"373,000","1,500","0.4","27,413","10,200,184,000","373,500","374,000","366,500","6,074,908,141,000","0.34","16,286,617","3,357,510","20.62",
49,215600,신라젠,"84,700","8,500","11.2","6,042,933","496,927,850,400","76,800","86,100","76,700","5,907,150,195,100","0.33","69,742,033","6,849,345","9.82",
