순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"47,650","200","0.4","6,791,255","323,146,318,571","47,550","47,800","47,200","305,880,821,955,000","16.69","6,419,324,700","3,380,977,045","52.67",2337
2,000660,SK하이닉스,"81,200","600","0.7","1,903,734","154,443,119,600","80,600","81,600","80,200","59,113,792,038,000","3.22","728,002,365","363,856,301","49.98",
3,005935,삼성전자우,"38,950","150","0.4","727,071","28,218,140,250","38,850","38,950","38,700","35,196,349,550,000","1.92","903,629,000","763,135,389","84.45",
4,068270,셀트리온,"280,000","13,000","4.9","994,506","275,441,968,500","268,000","281,500","268,000","35,110,852,840,000","1.92","125,395,903","27,813,896","22.18",
5,207940,삼성바이오로직스,"470,000","-2,000","-0.4","170,366","80,356,492,500","476,500","477,000","464,000","31,097,550,000,000","1.70","66,165,000","6,466,103","9.77",
6,005490,POSCO,"316,500","-3,000","-0.9","249,400","78,825,840,500","319,500","319,500","314,000","27,594,633,277,500","1.51","87,186,835","49,371,158","56.63",
7,005380,현대차,"126,500","1,500","1.2","297,393","37,489,997,000","125,500","127,000","124,500","27,029,025,655,500","1.47","213,668,187","98,488,502","46.09",
8,051910,LG화학,"367,500","-500","-0.1","167,988","61,647,404,080","369,500","371,500","364,000","25,942,686,052,500","1.42","70,592,343","26,619,674","37.71",
9,035420,NAVER,"755,000","1,000","0.1","37,456","28,193,185,000","757,000","757,000","749,000","24,886,822,645,000","1.36","32,962,679","20,010,834","60.71",
10,028260,삼성물산,"125,000","1,500","1.2","327,307","40,845,752,000","123,000","126,000","123,000","23,711,255,375,000","1.29","189,690,043","22,520,350","11.87",
11,012330,현대모비스,"226,500","0","0.0","103,520","23,336,442,500","225,000","228,000","223,000","22,048,384,969,500","1.20","97,343,863","47,410,000","48.70",
12,105560,KB금융,"51,400","100","0.2","361,822","18,603,715,000","51,300","51,700","51,000","21,490,933,001,800","1.17","418,111,537","294,164,411","70.36",
13,017670,SK텔레콤,"262,000","5,500","2.1","110,710","29,016,943,000","257,000","264,000","257,000","21,155,376,282,000","1.15","80,745,711","34,317,155","42.50",
14,055550,신한지주,"43,850","-50","-0.1","680,581","29,819,161,534","43,900","44,000","43,600","20,793,651,889,950","1.13","474,199,587","329,468,364","69.48",
15,051900,LG생활건강,"1,259,000","5,000","0.4","13,037","16,339,006,000","1,255,000","1,265,000","1,245,000","19,663,310,023,000","1.07","15,618,197","7,194,564","46.07",
