순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"47,050","50","0.1","10,015,541","474,358,097,500","47,900","47,900","47,050","302,029,227,135,000","16.43","6,419,324,700","3,383,045,834","52.70",2314
2,000660,SK하이닉스,"88,500","700","0.8","3,274,612","290,122,368,300","88,900","89,300","87,500","64,428,209,302,500","3.51","728,002,365","367,955,975","50.54",
3,068270,셀트리온,"292,000","-5,000","-1.7","739,522","217,514,112,500","297,500","298,000","291,500","36,615,603,676,000","1.99","125,395,903","27,741,450","22.12",
4,005935,삼성전자우,"37,150","50","0.1","1,332,203","49,947,039,295","37,800","37,900","37,150","33,569,817,350,000","1.83","903,629,000","758,346,019","83.92",
5,005490,POSCO,"339,000","-3,500","-1.0","181,774","62,040,257,000","342,500","345,500","339,000","29,556,337,065,000","1.61","87,186,835","50,462,191","57.88",
6,005380,현대차,"127,000","-2,500","-1.9","608,003","77,799,408,000","129,500","130,500","127,000","27,975,112,833,000","1.52","220,276,479","98,430,408","44.68",
7,207940,삼성바이오로직스,"415,000","-5,000","-1.2","153,582","64,410,548,000","420,000","426,000","411,000","27,458,475,000,000","1.49","66,165,000","6,345,433","9.59",
8,051910,LG화학,"349,500","-4,000","-1.1","245,404","86,379,838,500","349,500","355,500","347,500","24,672,023,878,500","1.34","70,592,343","27,216,330","38.55",
9,035420,NAVER,"699,000","10,000","1.4","117,882","81,876,932,000","685,000","703,000","684,000","23,040,912,621,000","1.25","32,962,679","19,419,712","58.91",
10,051900,LG생활건강,"1,449,000","-30,000","-2.0","23,718","34,588,713,000","1,450,000","1,495,000","1,449,000","22,630,767,453,000","1.23","15,618,197","7,308,370","46.79",
11,105560,KB금융,"52,700","-2,400","-4.4","1,321,931","70,198,837,900","54,300","54,300","52,400","22,034,477,999,900","1.20","418,111,537","290,868,342","69.57",
12,028260,삼성물산,"115,500","-2,500","-2.1","335,095","38,972,280,000","117,500","118,000","115,500","21,909,199,966,500","1.19","189,690,043","21,310,754","11.23",
13,012330,현대모비스,"217,000","-2,000","-0.9","242,401","52,668,899,000","218,000","220,000","215,500","21,123,618,271,000","1.15","97,343,863","47,091,093","48.38",
14,015760,한국전력,"32,900","-250","-0.8","864,088","28,444,803,150","33,100","33,500","32,650","21,120,618,133,300","1.15","641,964,077","186,108,694","28.99",
15,055550,신한지주,"43,800","-1,200","-2.7","1,053,561","46,429,974,600","44,150","44,850","43,750","20,769,941,910,600","1.13","474,199,587","331,035,643","69.81",
16,032830,삼성생명,"98,800","-1,700","-1.7","271,182","26,839,832,700","100,000","100,500","98,100","19,760,000,000,000","1.08","200,000,000","32,248,360","16.12",
17,017670,SK텔레콤,"243,000","1,500","0.6","209,128","50,715,546,500","237,500","245,000","236,500","19,621,207,773,000","1.07","80,745,711","33,512,057","41.50",
18,096770,SK이노베이션,"204,000","-500","-0.2","192,458","39,528,418,500","203,500","208,000","203,500","18,862,975,056,000","1.03","92,465,564","37,519,864","40.58",
19,034730,SK,"257,500","-6,000","-2.3","99,498","25,878,086,500","263,500","265,000","257,500","18,117,776,477,500","0.99","70,360,297","17,711,752","25.17",
20,090430,아모레퍼시픽,"306,500","-5,500","-1.8","155,393","47,711,869,500","310,000","316,000","304,000","17,917,527,185,000","0.97","58,458,490","20,184,632","34.53",
21,018260,삼성에스디에스,"203,000","-4,000","-1.9","119,748","24,590,654,500","204,500","209,000","202,500","15,707,693,400,000","0.85","77,377,800","9,090,895","11.75",
22,006400,삼성SDI,"226,000","-3,000","-1.3","368,767","84,388,263,000","231,500","232,000","225,000","15,540,783,780,000","0.85","68,764,530","27,583,357","40.11",
23,091990,셀트리온헬스케어,"108,800","-2,800","-2.5","926,988","101,783,164,400","111,800","112,800","107,800","15,288,165,171,200","0.83","140,516,224","46,844,979","33.34",
24,033780,KT&G,"102,000","-1,000","-1.0","393,206","39,883,277,000","101,500","102,500","100,500","14,003,834,694,000","0.76","137,292,497","73,124,017","53.26",
25,066570,LG전자,"82,000","-4,200","-4.9","1,395,643","116,046,492,500","86,300","87,200","82,000","13,419,120,748,000","0.73","163,647,814","58,476,532","35.73",
26,251270,넷마블,"150,500","2,500","1.7","171,999","25,933,410,000","146,000","153,000","146,000","12,821,663,739,500","0.70","85,193,779","22,084,938","25.92",
27,086790,하나금융지주,"42,700","-1,850","-4.2","1,188,473","51,078,435,350","43,950","44,200","42,550","12,820,336,047,400","0.70","300,242,062","214,907,876","71.58",
28,010950,S-Oil,"111,000","1,000","0.9","255,269","28,229,985,250","110,000","111,500","109,500","12,496,689,912,000","0.68","112,582,792","85,694,054","76.12",
29,000270,기아차,"30,800","-700","-2.2","1,446,930","44,702,395,900","31,400","31,550","30,600","12,485,191,087,600","0.68","405,363,347","157,505,472","38.86",
30,000810,삼성화재,"262,000","-7,000","-2.6","90,903","23,912,325,000","265,000","266,500","261,000","12,412,207,294,000","0.68","47,374,837","24,076,346","50.82",
31,003550,LG,"70,600","-3,000","-4.1","378,677","27,013,159,900","72,900","73,400","70,200","12,182,533,448,600","0.66","172,557,131","58,552,364","33.93",
32,011170,롯데케미칼,"345,500","-7,500","-2.1","127,942","44,362,086,000","351,000","355,500","342,500","11,842,157,264,500","0.64","34,275,419","10,980,914","32.04",
33,009150,삼성전기,"154,500","2,500","1.6","1,107,114","172,486,783,000","155,500","158,000","153,500","11,540,176,032,000","0.63","74,693,696","22,231,901","29.76",
34,000030,우리은행,"16,300","-800","-4.7","2,017,007","33,426,733,200","16,900","17,050","16,250","11,018,800,000,000","0.60","676,000,000","175,385,654","25.94",
35,002790,아모레G,"118,500","0","0.0","67,730","8,068,047,500","117,000","121,500","117,000","9,771,294,330,000","0.53","82,458,180","16,838,310","20.42",
36,024110,기업은행,"15,600","-450","-2.8","757,347","11,933,796,750","15,950","16,100","15,550","8,735,669,514,000","0.48","559,978,815","134,127,571","23.95",
37,035720,카카오,"107,000","-1,000","-0.9","172,840","18,581,922,000","107,500","109,000","106,000","8,162,561,554,000","0.44","76,285,622","18,678,104","24.48",
38,036570,엔씨소프트,"363,000","11,000","3.1","104,273","37,983,227,500","349,000","369,500","349,000","7,963,864,986,000","0.43","21,939,022","10,783,343","49.15",
39,009540,현대중공업,"106,500","-1,500","-1.4","147,966","15,928,589,000","107,000","109,500","106,500","7,366,117,869,000","0.40","69,165,426","11,271,046","16.30",
40,004020,현대제철,"54,700","-400","-0.7","689,127","38,216,390,700","55,000","56,600","54,600","7,299,484,439,500","0.40","133,445,785","31,770,555","23.81",
41,030200,KT,"27,950","-200","-0.7","894,315","25,635,909,782","28,050","28,200","27,750","7,298,075,033,600","0.40","261,111,808","127,944,785","49.00",
42,010130,고려아연,"376,500","-14,000","-3.6","73,749","28,017,228,000","388,000","390,000","375,000","7,104,555,000,000","0.39","18,870,000","4,702,562","24.92",
43,034220,LG디스플레이,"18,950","-650","-3.3","3,540,731","67,635,486,650","19,400","19,700","18,850","6,780,607,515,000","0.37","357,815,700","88,328,761","24.69",
44,000720,현대건설,"60,800","-100","-0.2","2,495,763","154,243,646,100","61,000","63,700","60,100","6,770,430,512,000","0.37","111,355,765","21,743,849","19.53",
45,139480,이마트,"238,000","-4,500","-1.9","90,387","21,549,107,000","238,500","241,500","235,000","6,634,444,922,000","0.36","27,875,819","13,592,283","48.76",
46,021240,코웨이,"86,700","-3,300","-3.7","206,586","18,118,801,400","88,100","90,300","86,600","6,398,426,967,300","0.35","73,799,619","44,334,481","60.07",
47,004990,롯데지주,"56,300","-800","-1.4","173,449","9,815,418,400","56,900","57,300","56,000","6,397,701,958,200","0.35","113,635,914","14,449,278","12.72",
48,032640,LG유플러스,"14,150","350","2.5","2,431,906","34,505,568,100","13,700","14,350","13,650","6,178,050,758,150","0.34","436,611,361","161,825,534","37.06",
49,271560,오리온,"152,000","-1,000","-0.6","135,835","20,705,383,500","150,500","154,500","149,000","6,009,092,152,000","0.33","39,533,501","15,928,517","40.29",
50,267250,현대중공업지주,"367,500","1,500","0.4","41,478","15,364,564,000","361,500","376,500","361,000","5,985,331,747,500","0.33","16,286,617","3,562,504","21.87",
51,035250,강원랜드,"27,300","-1,150","-4.0","620,613","17,151,280,200","28,200","28,450","27,100","5,840,575,650,000","0.32","213,940,500","59,977,221","28.03",
52,023530,롯데쇼핑,"203,500","-1,000","-0.5","88,515","18,068,155,500","204,500","206,500","203,000","5,722,836,564,500","0.31","28,122,047","5,789,092","20.59",
53,006800,미래에셋대우,"8,690","-120","-1.4","1,721,343","15,031,627,820","8,760","8,860","8,650","5,720,769,585,520","0.31","658,316,408","78,936,773","11.99",
54,018880,한온시스템,"10,700","-50","-0.5","1,551,045","16,516,172,380","10,650","10,750","10,500","5,711,660,000,000","0.31","533,800,000","108,069,567","20.25",
55,036460,한국가스공사,"60,400","-2,800","-4.4","281,398","17,241,576,800","63,200","63,300","60,100","5,575,705,200,000","0.30","92,313,000","11,430,420","12.38",
56,161390,한국타이어,"43,700","-1,000","-2.2","333,388","14,536,918,000","44,450","44,650","43,100","5,413,340,515,300","0.29","123,875,069","50,596,319","40.84",
57,097950,CJ제일제당,"350,000","500","0.1","32,010","11,269,929,000","349,500","359,000","349,000","5,268,615,100,000","0.29","15,053,186","3,194,156","21.22",
58,078930,GS,"54,500","-400","-0.7","200,870","10,919,534,800","54,700","54,900","53,900","5,063,888,101,000","0.28","92,915,378","18,438,212","19.84",
59,215600,신라젠,"71,100","-3,700","-5.0","1,010,057","73,388,546,700","75,200","75,700","70,900","4,935,906,546,300","0.27","69,422,033","6,521,859","9.39",
60,008770,호텔신라,"122,500","-2,500","-2.0","249,620","30,866,792,120","124,000","127,000","121,500","4,807,894,822,500","0.26","39,248,121","13,421,593","34.20",
61,088350,한화생명,"5,500","-200","-3.5","1,814,416","10,057,860,790","5,640","5,680","5,490","4,776,915,000,000","0.26","868,530,000","155,712,515","17.93",
62,071050,한국금융지주,"84,600","-1,800","-2.1","136,813","11,651,164,000","84,700","86,100","84,500","4,714,418,923,200","0.26","55,725,992","19,372,830","34.76",
63,004800,효성,"134,000","0","0.0","0","0","0","0","0","4,705,738,970,000","0.26","35,117,455","6,671,504","19.00",
64,128940,한미약품,"403,000","-10,000","-2.4","34,919","14,180,849,500","409,000","412,000","403,000","4,588,433,473,000","0.25","11,385,691","1,431,096","12.57",
65,086280,현대글로비스,"120,000","-2,000","-1.6","174,231","20,849,463,500","121,000","122,500","118,000","4,500,000,000,000","0.24","37,500,000","12,506,353","33.35",
66,010140,삼성중공업,"6,960","-80","-1.1","2,339,495","16,351,079,780","7,010","7,070","6,940","4,384,800,000,000","0.24","630,000,000","106,280,780","16.87",
67,005830,DB손해보험,"60,500","-3,000","-4.7","270,313","16,515,836,500","62,600","63,100","60,200","4,283,400,000,000","0.23","70,800,000","34,060,900","48.11",
68,005940,NH투자증권,"15,150","-100","-0.7","681,491","10,355,948,750","15,100","15,450","15,050","4,263,344,638,050","0.23","281,408,887","40,911,217","14.54",
69,029780,삼성카드,"36,750","-200","-0.5","100,387","3,688,098,600","36,400","37,000","36,300","4,257,814,244,250","0.23","115,858,891","14,671,228","12.66",
