순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"46,150","0","0.0","7,222,471","333,206,138,150","46,250","46,550","45,900","296,251,834,905,000","16.70","6,419,324,700","3,367,886,029","52.46",2325
2,000660,SK하이닉스,"80,500","-3,100","-3.7","4,154,596","338,890,658,900","83,400","84,000","80,200","58,604,190,382,500","3.30","728,002,365","369,232,290","50.72",
3,005935,삼성전자우,"37,100","-300","-0.8","672,547","24,973,329,200","37,500","37,600","36,750","33,524,635,900,000","1.89","903,629,000","759,213,640","84.02",
4,068270,셀트리온,"251,000","-14,000","-5.3","1,947,928","492,746,036,000","266,500","268,000","247,000","31,474,371,653,000","1.77","125,395,903","27,642,784","22.04",
5,005380,현대차,"130,500","1,000","0.8","305,338","39,689,762,000","130,000","130,500","129,000","28,746,080,509,500","1.62","220,276,479","97,826,266","44.41",
6,005490,POSCO,"329,000","4,000","1.2","183,458","60,634,704,000","323,000","334,500","323,000","28,684,468,715,000","1.62","87,186,835","50,212,506","57.59",
7,207940,삼성바이오로직스,"388,500","-22,000","-5.4","366,589","145,038,815,500","411,000","415,000","388,000","25,705,102,500,000","1.45","66,165,000","6,459,740","9.76",
8,051910,LG화학,"361,500","31,000","9.4","1,134,542","403,946,994,500","346,000","363,500","344,500","25,519,131,994,500","1.44","70,592,343","26,271,076","37.22",
9,035420,NAVER,"746,000","1,000","0.1","94,581","70,670,134,800","759,000","759,000","742,000","24,590,158,534,000","1.39","32,962,679","19,716,899","59.82",
10,105560,KB금융,"54,400","1,000","1.9","831,084","45,280,290,300","54,000","54,900","53,800","22,745,267,612,800","1.28","418,111,537","290,268,396","69.42",
11,028260,삼성물산,"119,000","-2,500","-2.1","193,874","23,246,556,500","122,000","122,000","119,000","22,573,115,117,000","1.27","189,690,043","21,346,303","11.25",
12,012330,현대모비스,"226,000","0","0.0","127,419","28,829,223,000","224,000","229,000","224,000","21,999,713,038,000","1.24","97,343,863","47,258,838","48.55",
13,015760,한국전력,"33,100","-50","-0.2","1,695,486","56,301,338,000","33,150","33,700","32,850","21,249,010,948,700","1.20","641,964,077","182,153,084","28.37",
14,055550,신한지주,"44,250","-150","-0.3","1,252,972","55,630,931,100","44,400","44,800","44,200","20,983,331,724,750","1.18","474,199,587","329,697,433","69.53",
15,051900,LG생활건강,"1,257,000","-74,000","-5.6","79,239","100,043,963,162","1,316,000","1,325,000","1,253,000","19,632,073,629,000","1.11","15,618,197","7,244,920","46.39",
16,017670,SK텔레콤,"242,000","1,000","0.4","106,615","25,839,457,500","239,500","243,000","239,500","19,540,462,062,000","1.10","80,745,711","33,660,261","41.69",
17,032830,삼성생명,"97,400","-1,200","-1.2","150,965","14,742,584,200","98,400","99,400","96,300","19,480,000,000,000","1.10","200,000,000","32,152,633","16.08",
18,034730,SK,"260,000","-14,000","-5.1","301,800","78,955,542,500","258,000","267,000","257,000","18,293,677,220,000","1.03","70,360,297","17,712,923","25.17",
19,096770,SK이노베이션,"195,500","1,000","0.5","100,689","19,611,879,000","195,000","197,000","193,000","18,077,017,762,000","1.02","92,465,564","37,143,028","40.17",
20,090430,아모레퍼시픽,"279,500","0","0.0","209,132","58,051,146,218","281,000","281,500","270,500","16,339,147,955,000","0.92","58,458,490","20,247,016","34.63",
