순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"46,100","1,300","2.9","11,641,656","532,916,173,650","45,150","46,200","44,900","295,930,868,670,000","16.53","6,419,324,700","3,369,768,421","52.49",2334
2,000660,SK하이닉스,"79,800","1,400","1.8","5,295,710","422,644,336,400","79,300","80,900","78,200","58,094,588,727,000","3.25","728,002,365","363,838,160","49.98",
3,005935,삼성전자우,"38,000","1,000","2.7","1,240,229","46,753,162,900","37,500","38,200","37,050","34,337,902,000,000","1.92","903,629,000","762,531,700","84.39",
4,068270,셀트리온,"268,500","0","0.0","474,002","128,580,436,000","270,500","275,500","268,000","33,668,799,955,500","1.88","125,395,903","27,801,693","22.17",
5,207940,삼성바이오로직스,"453,000","-1,000","-0.2","110,958","50,314,927,000","457,000","458,000","450,500","29,972,745,000,000","1.67","66,165,000","6,467,097","9.77",
6,005490,POSCO,"324,000","-2,000","-0.6","157,383","51,310,774,000","324,000","331,000","323,500","28,248,534,540,000","1.58","87,186,835","49,780,674","57.10",
7,005380,현대차,"126,000","500","0.4","329,800","41,355,840,000","125,500","127,000","124,500","26,922,191,562,000","1.50","213,668,187","98,165,595","45.94",
8,051910,LG화학,"354,500","-9,500","-2.6","351,978","125,426,051,500","366,000","366,500","351,000","25,024,985,593,500","1.40","70,592,343","26,773,815","37.93",
9,035420,NAVER,"747,000","0","0.0","47,935","35,668,330,000","747,000","748,000","741,000","24,623,121,213,000","1.38","32,962,679","19,967,491","60.58",
10,028260,삼성물산,"123,500","1,500","1.2","215,928","26,440,049,000","122,000","123,500","121,500","23,426,720,310,500","1.31","189,690,043","22,141,769","11.67",
11,012330,현대모비스,"229,500","-1,500","-0.6","135,387","31,021,841,000","230,500","232,000","228,000","22,340,416,558,500","1.25","97,343,863","47,367,938","48.66",
12,105560,KB금융,"50,900","-400","-0.8","591,875","30,131,663,300","51,300","51,400","50,600","21,281,877,233,300","1.19","418,111,537","292,555,654","69.97",
13,017670,SK텔레콤,"254,000","-3,000","-1.2","152,092","38,557,672,000","254,500","256,500","252,000","20,509,410,594,000","1.15","80,745,711","34,204,152","42.36",
14,055550,신한지주,"42,150","-750","-1.8","738,685","31,223,010,250","42,700","42,700","42,000","19,987,512,592,050","1.12","474,199,587","328,938,519","69.37",
15,015760,한국전력,"30,750","0","0.0","797,471","24,520,427,950","30,750","30,950","30,600","19,740,395,367,750","1.10","641,964,077","180,864,762","28.17",
16,032830,삼성생명,"93,600","400","0.4","176,028","16,433,199,400","92,500","93,700","92,500","18,720,000,000,000","1.05","200,000,000","32,170,037","16.09",
