순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"46,000","-300","-0.6","11,224,077","515,223,640,592","46,400","46,450","45,400","295,288,936,200,000","16.44","6,419,324,700","3,370,029,066","52.50",2319
2,000660,SK하이닉스,"86,800","-500","-0.6","2,037,358","176,787,327,100","86,500","87,600","85,900","63,190,605,282,000","3.52","728,002,365","368,913,147","50.67",
3,068270,셀트리온,"276,500","-4,500","-1.6","572,271","158,877,539,500","281,000","281,000","274,000","34,671,967,179,500","1.93","125,395,903","27,536,946","21.96",
4,005935,삼성전자우,"37,000","-350","-0.9","1,249,437","46,045,292,450","37,350","37,350","36,400","33,434,273,000,000","1.86","903,629,000","758,764,939","83.97",
5,207940,삼성바이오로직스,"415,000","-2,000","-0.5","81,484","34,027,281,000","414,500","422,000","411,000","27,458,475,000,000","1.53","66,165,000","6,406,896","9.68",
6,005490,POSCO,"312,000","3,000","1.0","161,239","49,722,101,000","306,500","313,500","304,000","27,202,292,520,000","1.51","87,186,835","50,276,807","57.67",
7,005380,현대차,"121,500","-2,000","-1.6","384,762","46,701,557,000","121,000","123,000","120,500","26,763,592,198,500","1.49","220,276,479","98,070,835","44.52",
8,035420,NAVER,"769,000","9,000","1.2","86,885","66,525,371,000","763,000","771,000","757,000","25,348,300,151,000","1.41","32,962,679","19,605,891","59.48",
9,051910,LG화학,"326,000","500","0.2","177,280","57,536,433,000","322,500","328,000","320,000","23,013,103,818,000","1.28","70,592,343","26,562,829","37.63",
10,105560,KB금융,"53,800","-700","-1.3","1,096,492","58,557,154,000","53,500","54,000","52,700","22,494,400,690,600","1.25","418,111,537","290,426,697","69.46",
11,028260,삼성물산,"117,000","-1,000","-0.8","197,777","23,155,629,500","117,000","118,000","116,000","22,193,735,031,000","1.24","189,690,043","21,261,563","11.21",
12,055550,신한지주,"44,550","0","0.0","742,209","32,683,055,354","43,400","44,700","43,400","21,125,591,600,850","1.18","474,199,587","330,143,147","69.62",
13,051900,LG생활건강,"1,300,000","13,000","1.0","38,123","49,530,249,875","1,292,000","1,308,000","1,280,000","20,303,656,100,000","1.13","15,618,197","7,271,566","46.56",
14,015760,한국전력,"31,000","0","0.0","1,372,919","42,457,657,750","30,850","31,200","30,550","19,900,886,387,000","1.11","641,964,077","183,050,956","28.51",
15,012330,현대모비스,"202,000","-3,000","-1.5","149,249","30,171,253,500","200,500","204,500","200,500","19,663,460,326,000","1.09","97,343,863","47,186,284","48.47",
16,032830,삼성생명,"96,700","-1,200","-1.2","209,185","20,228,373,900","96,700","97,600","96,300","19,340,000,000,000","1.08","200,000,000","32,233,000","16.12",
17,017670,SK텔레콤,"237,500","4,500","1.9","253,252","59,921,309,250","233,500","238,000","233,000","19,177,106,362,500","1.07","80,745,711","33,509,073","41.50",
18,034730,SK,"263,500","1,000","0.4","81,775","21,539,478,500","258,500","265,500","258,500","18,539,938,259,500","1.03","70,360,297","17,757,543","25.24",
19,096770,SK이노베이션,"190,500","-1,500","-0.8","244,531","46,594,389,500","191,000","192,000","189,500","17,614,689,942,000","0.98","92,465,564","37,030,443","40.05",
20,090430,아모레퍼시픽,"295,000","1,000","0.3","132,221","38,922,742,000","290,500","297,000","289,000","17,245,254,550,000","0.96","58,458,490","20,375,065","34.85",
21,006400,삼성SDI,"225,000","-3,500","-1.5","284,263","64,050,297,000","223,000","229,000","223,000","15,472,019,250,000","0.86","68,764,530","26,789,695","38.96",
22,018260,삼성에스디에스,"199,000","-5,000","-2.4","85,901","17,145,818,500","200,000","202,000","196,500","15,398,182,200,000","0.86","77,377,800","9,180,018","11.86",
23,033780,KT&G,"106,500","-1,500","-1.4","311,985","33,230,082,500","106,500","108,000","105,000","14,621,650,930,500","0.81","137,292,497","73,638,021","53.64",
24,251270,넷마블,"162,500","-500","-0.3","164,209","26,424,669,000","160,500","163,000","158,500","13,843,989,087,500","0.77","85,193,779","22,206,099","26.07",
