순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"2,427,000","-34,000","-1.4","142,313","346,383,448,000","2,450,000","2,461,000","2,425,000","311,594,020,938,000","16.29","128,386,494","67,057,529","52.23",2312
2,000660,SK하이닉스,"81,300","0","0.0","2,342,407","191,645,987,026","81,700","82,800","81,100","59,186,592,274,500","3.09","728,002,365","363,135,459","49.88",
3,068270,셀트리온,"304,000","-5,500","-1.8","702,993","217,156,704,500","310,500","316,000","304,000","37,290,592,896,000","1.95","122,666,424","28,458,812","23.20",
4,005935,삼성전자우,"2,009,000","-31,000","-1.5","8,016","16,149,717,000","2,035,000","2,035,000","2,005,000","36,307,813,220,000","1.90","18,072,580","15,008,018","83.04",
5,005380,현대차,"148,500","5,000","3.5","569,272","83,907,272,000","144,500","148,500","144,000","32,711,057,131,500","1.71","220,276,479","101,598,210","46.12",
6,207940,삼성바이오로직스,"486,000","-1,000","-0.2","91,013","44,213,729,500","487,000","490,000","482,500","32,156,190,000,000","1.68","66,165,000","6,757,527","10.21",
7,005490,POSCO,"327,500","2,000","0.6","164,983","54,139,368,000","324,500","332,500","324,500","28,553,688,462,500","1.49","87,186,835","50,063,548","57.42",
8,051910,LG화학,"387,500","2,000","0.5","161,454","63,440,590,000","394,000","398,500","387,000","27,354,532,912,500","1.43","70,592,343","28,517,367","40.40",
9,028260,삼성물산,"140,500","500","0.4","416,640","58,269,664,500","139,000","141,000","138,500","26,651,451,041,500","1.39","189,690,043","19,237,182","10.14",
10,035420,NAVER,"785,000","-7,000","-0.9","79,620","62,493,619,000","783,000","792,000","782,000","25,875,703,015,000","1.35","32,962,679","19,525,898","59.24",
11,105560,KB금융,"59,500","-1,200","-2.0","697,254","41,744,471,300","60,400","61,200","59,300","24,877,636,451,500","1.30","418,111,537","290,813,394","69.55",
12,012330,현대모비스,"244,500","5,000","2.1","1,040,185","254,128,698,000","239,500","246,000","239,000","23,800,574,503,500","1.24","97,343,863","46,736,934","48.01",
13,032830,삼성생명,"119,000","3,000","2.6","423,187","50,535,126,000","117,000","120,500","117,000","23,800,000,000,000","1.24","200,000,000","32,346,998","16.17",
14,055550,신한지주,"45,400","-300","-0.7","938,681","43,032,138,550","45,700","46,200","45,250","21,528,661,249,800","1.13","474,199,587","327,368,662","69.04",
15,015760,한국전력,"33,250","400","1.2","1,147,437","38,226,779,650","32,850","33,500","32,800","21,345,305,560,250","1.12","641,964,077","194,213,662","30.25",
16,034730,SK,"292,500","-3,500","-1.2","57,126","16,785,067,000","293,000","297,500","291,500","20,580,386,872,500","1.08","70,360,297","17,071,820","24.26",
17,096770,SK이노베이션,"214,000","3,000","1.4","202,049","43,678,050,500","213,000","219,000","212,500","19,787,630,696,000","1.03","92,465,564","38,773,093","41.93",
18,051900,LG생활건강,"1,251,000","43,000","3.6","28,383","35,611,656,000","1,219,000","1,278,000","1,219,000","19,538,364,447,000","1.02","15,618,197","7,240,003","46.36",
19,090430,아모레퍼시픽,"333,000","16,000","5.0","489,376","164,802,199,500","327,500","343,500","327,000","19,466,677,170,000","1.02","58,458,490","19,686,926","33.68",
20,018260,삼성에스디에스,"250,500","-5,000","-2.0","123,536","31,324,889,500","258,500","259,000","250,500","19,383,138,900,000","1.01","77,377,800","8,546,868","11.05",
21,017670,SK텔레콤,"235,000","1,500","0.6","119,524","28,100,336,000","233,500","236,000","233,000","18,975,242,085,000","0.99","80,745,711","32,475,218","40.22",
22,066570,LG전자,"110,500","1,000","0.9","340,315","37,723,699,000","110,000","112,500","110,000","18,083,083,447,000","0.95","163,647,814","56,701,358","34.65",
23,003550,LG,"87,100","1,000","1.2","174,943","15,206,479,900","85,800","87,600","85,800","15,029,726,110,100","0.79","172,557,131","56,471,108","32.73",
24,011170,롯데케미칼,"429,500","-3,500","-0.8","66,567","28,770,762,500","430,000","440,000","428,000","14,721,292,460,500","0.77","34,275,419","11,353,790","33.13",
25,091990,셀트리온헬스케어,"104,900","-1,600","-1.5","458,870","48,873,372,700","106,500","108,700","104,900","14,426,322,148,000","0.75","137,524,520","45,854,515","33.34",
