순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"47,450","-1,000","-2.1","8,595,084","409,459,975,273","48,200","48,300","47,300","304,596,957,015,000","16.70","6,419,324,700","3,380,222,198","52.66",2337
2,000660,SK하이닉스,"80,600","-2,400","-2.9","2,618,619","212,810,467,300","82,200","82,800","80,500","58,676,990,619,000","3.22","728,002,365","364,206,124","50.03",
3,005935,삼성전자우,"38,800","-900","-2.3","459,331","17,889,628,250","39,500","39,500","38,650","35,060,805,200,000","1.92","903,629,000","763,197,704","84.46",
4,068270,셀트리온,"267,000","-3,000","-1.1","484,299","129,422,756,000","268,500","271,500","265,000","33,480,706,101,000","1.84","125,395,903","27,565,016","21.98",
5,207940,삼성바이오로직스,"472,000","9,000","1.9","194,472","91,467,041,500","468,000","474,000","465,000","31,229,880,000,000","1.71","66,165,000","6,504,179","9.83",
6,005490,POSCO,"319,500","-7,000","-2.1","230,620","73,732,854,393","323,000","324,500","318,500","27,856,193,782,500","1.53","87,186,835","49,450,590","56.72",
7,005380,현대차,"125,000","0","0.0","264,041","32,944,553,500","124,500","126,000","123,500","26,708,523,375,000","1.46","213,668,187","98,433,923","46.07",
8,051910,LG화학,"368,000","2,000","0.6","201,113","73,864,177,760","365,500","370,500","360,500","25,977,982,224,000","1.42","70,592,343","26,646,496","37.75",
9,035420,NAVER,"754,000","2,000","0.3","31,207","23,423,647,000","753,000","755,000","747,000","24,853,859,966,000","1.36","32,962,679","19,999,303","60.67",
10,028260,삼성물산,"123,500","500","0.4","172,275","21,194,752,500","122,500","123,500","122,000","23,426,720,310,500","1.28","189,690,043","22,480,877","11.85",
11,012330,현대모비스,"226,500","2,500","1.1","92,301","20,874,278,000","223,500","228,000","223,500","22,048,384,969,500","1.21","97,343,863","47,424,119","48.72",
12,105560,KB금융,"51,300","-400","-0.8","643,755","32,990,861,100","51,600","51,600","51,000","21,449,121,848,100","1.18","418,111,537","294,176,142","70.36",
13,055550,신한지주,"43,900","300","0.7","595,359","26,070,943,650","43,600","44,000","43,350","20,817,361,869,300","1.14","474,199,587","329,486,348","69.48",
14,017670,SK텔레콤,"256,500","-6,000","-2.3","104,518","27,076,138,500","261,000","262,500","255,500","20,711,274,871,500","1.14","80,745,711","34,317,613","42.50",
15,051900,LG생활건강,"1,254,000","-11,000","-0.9","25,260","31,657,286,257","1,260,000","1,269,000","1,244,000","19,585,219,038,000","1.07","15,618,197","7,191,030","46.04",
16,015760,한국전력,"30,300","-200","-0.7","776,177","23,524,344,800","30,450","30,550","30,250","19,451,511,533,100","1.07","641,964,077","180,046,128","28.05",
17,018260,삼성에스디에스,"240,000","-2,500","-1.0","75,801","18,300,136,000","242,000","245,000","239,500","18,570,672,000,000","1.02","77,377,800","9,474,960","12.25",
18,032830,삼성생명,"92,400","-100","-0.1","87,976","8,110,049,800","92,000","92,600","91,600","18,480,000,000,000","1.01","200,000,000","32,223,087","16.11",
19,034730,SK,"261,000","-2,000","-0.8","39,235","10,240,958,500","261,500","263,000","258,000","18,364,037,517,000","1.01","70,360,297","17,956,334","25.52",
20,096770,SK이노베이션,"194,500","1,500","0.8","114,208","22,137,023,500","192,500","195,000","192,000","17,984,552,198,000","0.99","92,465,564","37,087,962","40.11",
21,006400,삼성SDI,"242,500","6,500","2.8","428,249","103,558,509,474","237,500","244,000","235,500","16,675,398,525,000","0.91","68,764,530","26,519,453","38.57",
22,090430,아모레퍼시픽,"259,500","-3,500","-1.3","129,389","33,640,321,500","264,000","265,000","258,000","15,169,978,155,000","0.83","58,458,490","20,302,968","34.73",
23,033780,KT&G,"101,500","500","0.5","148,916","15,008,255,500","100,500","101,500","100,000","13,935,188,445,500","0.76","137,292,497","74,105,801","53.98",
24,010950,S-Oil,"121,000","1,500","1.3","122,188","14,756,090,500","119,000","121,500","119,000","13,622,517,832,000","0.75","112,582,792","87,262,373","77.51",
25,000270,기아차,"31,800","-250","-0.8","496,108","15,779,091,200","31,900","32,100","31,600","12,890,554,434,600","0.71","405,363,347","161,641,636","39.88",
26,086790,하나금융지주,"42,750","50","0.1","470,596","20,044,329,900","42,700","42,800","42,450","12,835,348,150,500","0.70","300,242,062","214,157,353","71.33",
