순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"45,150","100","0.2","6,409,259","289,642,674,700","44,850","45,400","44,850","289,832,510,205,000","16.37","6,419,324,700","3,369,385,947","52.49",2334
2,000660,SK하이닉스,"75,900","500","0.7","3,206,407","243,940,354,700","75,900","76,600","75,500","55,255,379,503,500","3.12","728,002,365","365,321,929","50.18",
3,005935,삼성전자우,"36,850","150","0.4","638,309","23,444,931,400","36,500","36,900","36,500","33,298,728,650,000","1.88","903,629,000","761,877,758","84.31",
4,068270,셀트리온,"261,000","500","0.2","558,360","146,653,566,500","260,000","267,000","260,000","32,728,330,683,000","1.85","125,395,903","27,848,391","22.21",
5,207940,삼성바이오로직스,"456,000","10,000","2.2","157,057","71,157,254,500","445,500","458,000","445,000","30,171,240,000,000","1.70","66,165,000","6,499,211","9.82",
6,005490,POSCO,"322,000","3,000","0.9","146,507","47,134,185,500","319,000","323,500","319,000","28,074,160,870,000","1.59","87,186,835","49,914,480","57.25",
7,051910,LG화학,"373,000","5,000","1.4","169,637","62,893,004,500","368,500","374,500","367,500","26,330,943,939,000","1.49","70,592,343","26,858,604","38.05",
8,005380,현대차,"123,000","-500","-0.4","291,859","35,999,356,500","124,500","125,000","122,500","26,281,187,001,000","1.48","213,668,187","98,001,330","45.87",
9,035420,NAVER,"757,000","2,000","0.3","61,603","46,774,255,000","760,000","767,000","754,000","24,952,748,003,000","1.41","32,962,679","19,938,871","60.49",
10,028260,삼성물산,"123,500","-500","-0.4","214,803","26,488,482,500","124,000","124,000","122,500","23,426,720,310,500","1.32","189,690,043","21,969,216","11.58",
11,012330,현대모비스,"230,000","-1,000","-0.4","93,989","21,607,162,000","231,500","233,000","228,000","22,389,088,490,000","1.26","97,343,863","47,236,843","48.53",
12,105560,KB금융,"50,400","-700","-1.4","1,217,110","61,386,233,600","50,600","50,800","50,100","21,072,821,464,800","1.19","418,111,537","292,640,810","69.99",
13,017670,SK텔레콤,"259,500","2,500","1.0","107,218","27,698,783,500","259,000","259,500","254,500","20,953,512,004,500","1.18","80,745,711","33,951,363","42.05",
14,055550,신한지주,"43,000","450","1.1","842,132","35,987,735,650","42,600","43,150","42,200","20,390,582,241,000","1.15","474,199,587","328,985,440","69.38",
15,015760,한국전력,"30,350","-800","-2.6","1,987,025","60,458,337,350","30,750","30,750","30,200","19,483,609,736,950","1.10","641,964,077","181,350,641","28.25",
16,032830,삼성생명,"93,600","-400","-0.4","130,791","12,246,746,300","94,300","94,300","93,300","18,720,000,000,000","1.06","200,000,000","32,003,057","16.00",
17,051900,LG생활건강,"1,185,000","-6,000","-0.5","23,235","27,565,638,000","1,197,000","1,197,000","1,181,000","18,507,563,445,000","1.05","15,618,197","7,211,958","46.18",
18,096770,SK이노베이션,"199,000","6,500","3.4","303,268","59,654,839,500","193,000","200,000","192,500","18,400,647,236,000","1.04","92,465,564","37,147,142","40.17",
19,034730,SK,"259,000","4,000","1.6","60,920","15,667,400,500","255,000","259,500","253,000","18,223,316,923,000","1.03","70,360,297","17,859,820","25.38",
20,018260,삼성에스디에스,"227,000","0","0.0","106,622","24,298,218,000","226,000","229,500","222,500","17,564,760,600,000","0.99","77,377,800","9,242,539","11.94",
21,090430,아모레퍼시픽,"260,500","3,500","1.4","104,266","27,128,591,000","258,000","262,500","258,000","15,228,436,645,000","0.86","58,458,490","20,255,366","34.65",
22,006400,삼성SDI,"214,500","-500","-0.2","216,559","46,220,826,000","216,000","216,000","211,000","14,749,991,685,000","0.83","68,764,530","26,475,080","38.50",
23,033780,KT&G,"107,000","-1,000","-0.9","253,264","27,290,254,500","108,000","109,000","106,500","14,690,297,179,000","0.83","137,292,497","74,123,172","53.99",
24,010950,S-Oil,"121,500","3,500","3.0","494,812","59,654,307,000","118,500","122,000","117,500","13,678,809,228,000","0.77","112,582,792","86,580,935","76.90",
25,086790,하나금융지주,"43,500","850","2.0","594,625","25,651,321,550","43,000","43,550","42,400","13,060,529,697,000","0.74","300,242,062","213,963,970","71.26",
26,000810,삼성화재,"272,500","-2,000","-0.7","54,406","14,857,958,068","275,000","275,000","271,500","12,909,643,082,500","0.73","47,374,837","23,929,806","50.51",
27,000270,기아차,"31,500","-800","-2.5","751,339","23,839,907,550","32,400","32,450","31,500","12,768,945,430,500","0.72","405,363,347","160,314,837","39.55",
28,003550,LG,"73,000","0","0.0","226,869","16,487,315,800","74,000","74,000","71,000","12,596,670,563,000","0.71","172,557,131","59,017,256","34.20",
29,091990,셀트리온헬스케어,"86,500","1,200","1.4","422,875","36,489,598,700","84,900","87,400","84,900","12,154,653,376,000","0.69","140,516,224","46,006,998","32.74",
30,066570,LG전자,"73,600","-2,700","-3.5","2,397,515","175,092,598,000","76,100","76,200","70,900","12,044,479,110,400","0.68","163,647,814","54,401,025","33.24",
31,011170,롯데케미칼,"340,000","-7,000","-2.0","116,041","39,489,545,000","347,500","349,500","336,000","11,653,642,460,000","0.66","34,275,419","10,640,837","31.05",
32,000030,우리은행,"16,400","300","1.9","1,522,636","24,783,234,050","16,050","16,400","16,050","11,086,400,000,000","0.63","676,000,000","183,681,522","27.17",
33,251270,넷마블,"123,500","1,000","0.8","203,431","25,235,851,000","123,500","126,500","122,500","10,523,455,624,500","0.59","85,210,167","21,973,545","25.79",
34,009150,삼성전기,"140,000","1,000","0.7","1,047,637","147,371,560,355","140,000","143,500","137,500","10,457,117,440,000","0.59","74,693,696","22,399,831","29.99",
35,035720,카카오,"127,500","3,500","2.8","518,080","65,372,821,500","125,000","128,500","123,000","9,726,480,555,000","0.55","76,286,122","19,004,719","24.91",
36,024110,기업은행,"15,150","-50","-0.3","429,168","6,483,839,250","15,100","15,200","15,050","8,483,679,047,250","0.48","559,978,815","132,978,298","23.75",
37,036570,엔씨소프트,"385,000","29,000","8.2","244,138","92,393,078,500","365,000","388,500","364,500","8,446,523,470,000","0.48","21,939,022","11,025,760","50.26",
38,002790,아모레G,"96,900","-500","-0.5","57,060","5,541,160,500","97,900","98,300","96,300","7,990,197,642,000","0.45","82,458,180","16,923,085","20.52",
39,034220,LG디스플레이,"21,900","350","1.6","1,572,252","34,487,788,600","21,700","22,100","21,650","7,836,163,830,000","0.44","357,815,700","87,680,733","24.50",
40,030200,KT,"28,700","300","1.1","433,212","12,496,444,690","28,500","28,800","28,450","7,493,908,889,600","0.42","261,111,808","127,939,828","49.00",
