순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"45,500","350","0.8","9,987,090","454,869,947,826","44,950","45,900","44,700","292,079,273,850,000","15.99","6,419,324,700","3,366,052,283","52.44",2338
2,000660,SK하이닉스,"78,000","800","1.0","2,450,163","190,007,630,572","76,600","78,300","76,100","56,784,184,470,000","3.11","728,002,365","356,560,636","48.98",
3,068270,셀트리온,"300,500","-2,000","-0.7","921,764","276,239,648,333","301,000","303,500","297,500","37,681,468,851,500","2.06","125,395,903","28,061,663","22.38",
4,207940,삼성바이오로직스,"507,000","21,000","4.3","347,511","173,274,691,500","486,000","510,000","482,000","33,545,655,000,000","1.84","66,165,000","6,580,064","9.94",
5,005935,삼성전자우,"36,500","500","1.4","1,275,845","46,762,985,334","35,850","36,950","35,650","32,982,458,500,000","1.81","903,629,000","760,120,099","84.12",
6,005380,현대차,"128,000","-500","-0.4","368,661","47,386,935,699","128,500","130,000","128,000","27,349,527,936,000","1.50","213,668,187","98,628,261","46.16",
7,051910,LG화학,"367,000","13,000","3.7","286,490","103,703,192,525","354,500","367,000","350,500","25,907,389,881,000","1.42","70,592,343","26,521,442","37.57",
8,005490,POSCO,"296,500","3,500","1.2","257,068","75,649,391,230","290,000","297,500","290,000","25,850,896,577,500","1.41","87,186,835","48,377,740","55.49",
9,028260,삼성물산,"126,000","500","0.4","380,273","47,831,173,968","125,000","127,000","124,500","23,900,945,418,000","1.31","189,690,043","22,740,924","11.99",
10,035420,NAVER,"725,000","-3,000","-0.4","55,452","40,166,060,932","720,000","729,000","720,000","23,897,942,275,000","1.31","32,962,679","20,060,775","60.86",
11,017670,SK텔레콤,"277,000","-1,500","-0.5","178,311","49,261,995,280","276,000","279,000","274,000","22,366,561,947,000","1.22","80,745,711","34,438,792","42.65",
12,012330,현대모비스,"220,000","-2,500","-1.1","199,384","43,689,721,012","220,500","221,000","217,000","21,415,649,860,000","1.17","97,343,863","47,247,748","48.54",
13,105560,KB금융,"50,300","-100","-0.2","865,899","43,610,976,492","50,400","50,800","50,100","21,031,010,311,100","1.15","418,111,537","293,260,503","70.14",
14,055550,신한지주,"42,000","-650","-1.5","1,744,459","73,602,165,633","42,250","42,700","41,850","19,916,382,654,000","1.09","474,199,587","327,803,951","69.13",
15,034730,SK,"280,500","-1,000","-0.4","81,948","22,852,739,214","278,000","281,000","277,000","19,736,063,308,500","1.08","70,360,297","18,011,932","25.60",
16,051900,LG생활건강,"1,254,000","30,000","2.4","26,533","33,048,522,000","1,217,000","1,258,000","1,213,000","19,585,219,038,000","1.07","15,618,197","7,172,894","45.93",
17,015760,한국전력,"29,500","-300","-1.0","1,111,820","32,763,735,400","29,650","29,750","29,350","18,937,940,271,500","1.04","641,964,077","179,422,085","27.95",
18,096770,SK이노베이션,"202,500","1,500","0.8","159,684","31,984,164,234","199,000","203,000","198,000","18,724,276,710,000","1.02","92,465,564","36,910,425","39.92",
19,018260,삼성에스디에스,"239,000","-1,000","-0.4","79,242","18,921,600,891","236,500","241,000","236,500","18,493,294,200,000","1.01","77,377,800","9,669,608","12.50",
20,032830,삼성생명,"91,100","100","0.1","120,359","10,939,996,350","90,600","91,500","90,600","18,220,000,000,000","1.00","200,000,000","32,368,348","16.18",
21,006400,삼성SDI,"255,000","8,500","3.4","428,081","107,517,250,500","243,000","255,000","240,500","17,534,955,150,000","0.96","68,764,530","26,490,247","38.52",
22,090430,아모레퍼시픽,"259,000","-4,500","-1.7","152,483","39,504,335,012","260,000","262,000","257,500","15,140,748,910,000","0.83","58,458,490","20,294,196","34.72",
23,010950,S-Oil,"130,000","3,500","2.8","220,346","28,262,004,900","126,000","130,000","125,000","14,635,762,960,000","0.80","112,582,792","87,753,730","77.95",
24,033780,KT&G,"102,500","1,500","1.5","189,589","19,359,632,472","100,500","103,000","100,500","14,072,480,942,500","0.77","137,292,497","74,147,003","54.01",
25,000270,기아차,"34,500","450","1.3","1,220,023","41,946,903,626","34,000","34,550","33,850","13,985,035,471,500","0.77","405,363,347","164,191,272","40.50",
26,091990,셀트리온헬스케어,"99,000","0","0.0","668,439","65,807,361,650","98,400","100,000","97,800","13,911,633,351,000","0.76","140,521,549","46,052,748","32.77",
27,086790,하나금융지주,"42,050","-600","-1.4","1,368,656","58,000,292,541","42,900","43,000","41,900","12,625,178,707,100","0.69","300,242,062","213,934,578","71.25",
28,003550,LG,"71,600","-100","-0.1","213,766","15,179,857,600","71,100","71,600","69,900","12,355,090,579,600","0.68","172,557,131","59,450,307","34.45",
29,000810,삼성화재,"257,500","-500","-0.2","57,877","14,882,002,954","256,500","258,000","256,000","12,199,020,527,500","0.67","47,374,837","23,776,513","50.19",
30,009150,삼성전기,"151,500","-500","-0.3","610,960","93,384,948,000","150,500","155,000","149,000","11,316,094,944,000","0.62","74,693,696","22,078,364","29.56",
31,066570,LG전자,"69,000","-2,900","-4.0","2,606,048","180,131,603,580","71,200","71,500","68,400","11,291,699,166,000","0.62","163,647,814","50,704,505","30.98",
32,000030,우리은행,"16,100","-200","-1.2","1,689,122","27,353,426,774","16,250","16,300","16,000","10,883,600,000,000","0.60","676,000,000","185,775,088","27.48",
33,035720,카카오,"120,500","-1,000","-0.8","384,132","46,579,057,288","122,000","122,500","120,000","10,047,853,096,500","0.55","83,384,673","20,342,813","24.40",
34,011170,롯데케미칼,"286,000","-500","-0.2","146,092","41,992,764,250","284,500","291,500","283,500","9,802,769,834,000","0.54","34,275,419","10,478,020","30.57",
35,036570,엔씨소프트,"432,500","2,500","0.6","84,013","36,223,806,000","430,000","434,000","427,000","9,488,627,015,000","0.52","21,939,022","11,004,656","50.16",
36,251270,넷마블,"111,000","-2,500","-2.2","293,813","32,656,767,000","113,500","113,500","110,000","9,458,794,071,000","0.52","85,214,361","21,382,813","25.09",
37,009540,현대중공업,"129,000","-1,500","-1.2","194,752","24,926,514,992","129,500","129,500","126,500","8,922,339,954,000","0.49","69,165,426","11,376,391","16.45",
38,024110,기업은행,"14,500","-50","-0.3","591,902","8,577,802,190","14,500","14,550","14,400","8,119,692,817,500","0.44","559,978,815","132,738,555","23.70",
39,030200,KT,"29,900","200","0.7","687,157","20,478,486,450","29,550","29,900","29,550","7,807,243,059,200","0.43","261,111,808","127,944,786","49.00",
40,032640,LG유플러스,"17,700","350","2.0","1,806,874","31,574,576,166","17,350","17,700","17,200","7,728,021,089,700","0.42","436,611,361","183,275,377","41.98",
41,010130,고려아연,"409,000","2,000","0.5","29,751","12,147,672,012","401,000","412,000","401,000","7,717,830,000,000","0.42","18,870,000","4,354,492","23.08",
42,002790,아모레G,"92,300","-700","-0.8","74,201","6,835,535,900","92,000","92,800","91,800","7,610,890,014,000","0.42","82,458,180","16,970,022","20.58",
43,000720,현대건설,"67,000","-1,700","-2.5","1,312,349","89,301,196,500","68,500","69,400","66,500","7,460,836,255,000","0.41","111,355,765","24,587,702","22.08",
44,004020,현대제철,"54,600","900","1.7","284,608","15,346,383,257","53,300","54,600","53,100","7,286,139,861,000","0.40","133,445,785","32,662,523","24.48",
45,034220,LG디스플레이,"19,650","-50","-0.2","1,503,068","29,467,744,400","19,500","19,750","19,400","7,031,078,505,000","0.38","357,815,700","83,253,476","23.27",
46,021240,코웨이,"90,800","-2,600","-2.8","124,485","11,376,929,922","93,000","93,800","90,600","6,701,005,405,200","0.37","73,799,619","44,628,839","60.47",
47,215600,신라젠,"95,300","1,400","1.5","2,374,544","228,882,143,800","94,400","98,100","93,300","6,646,415,744,900","0.36","69,742,033","7,402,198","10.61",
48,018880,한온시스템,"12,450","700","6.0","1,038,622","12,579,037,864","11,600","12,500","11,600","6,645,810,000,000","0.36","533,800,000","105,346,825","19.74",
49,004990,롯데지주,"54,600","100","0.2","631,970","34,442,236,800","54,000","54,700","53,600","6,364,516,540,200","0.35","116,566,237","14,934,401","12.81",
50,267250,현대중공업지주,"389,500","1,000","0.3","25,024","9,720,660,750","383,500","391,000","382,500","6,343,637,321,500","0.35","16,286,617","3,372,099","20.70",
51,035250,강원랜드,"27,850","400","1.5","424,419","11,764,572,922","27,300","28,050","27,300","5,958,242,925,000","0.33","213,940,500","59,386,372","27.76",
52,161390,한국타이어,"46,750","450","1.0","211,761","9,760,162,640","45,750","46,900","45,350","5,791,159,475,750","0.32","123,875,069","51,052,397","41.21",
53,128940,한미약품,"503,000","7,000","1.4","39,789","19,919,044,368","497,000","506,000","489,000","5,727,002,573,000","0.31","11,385,691","1,478,209","12.98",
54,008930,한미사이언스,"89,200","-300","-0.3","69,851","6,222,700,200","89,200","89,700","88,200","5,664,134,616,400","0.31","63,499,267","3,023,635","4.76",
55,023530,롯데쇼핑,"198,500","2,500","1.3","63,303","12,564,698,208","195,000","200,000","195,000","5,615,317,867,500","0.31","28,288,755","5,593,658","19.77",
56,035760,CJ ENM,"247,300","5,100","2.1","69,647","17,164,120,900","242,200","249,200","241,900","5,422,394,763,200","0.30","21,926,384","4,298,931","19.61",
57,139480,이마트,"193,500","-7,500","-3.7","218,882","42,412,069,643","199,000","199,000","192,500","5,393,970,976,500","0.30","27,875,819","13,508,821","48.46",
58,006800,미래에셋대우,"8,160","-20","-0.2","1,104,522","8,994,700,840","8,150","8,180","8,100","5,371,861,889,280","0.29","658,316,408","82,819,675","12.58",
59,036460,한국가스공사,"56,800","-1,400","-2.4","208,939","11,896,894,900","57,600","57,900","56,500","5,243,378,400,000","0.29","92,313,000","13,596,551","14.73",
60,010140,삼성중공업,"8,070","110","1.4","3,074,239","24,670,066,986","7,910","8,080","7,880","5,084,100,000,000","0.28","630,000,000","113,750,133","18.06",
61,097950,CJ제일제당,"325,500","-2,000","-0.6","31,388","10,222,664,473","325,500","328,000","324,000","4,900,137,543,000","0.27","15,054,186","3,233,135","21.48",
62,078930,GS,"52,500","-400","-0.8","113,584","5,946,814,884","52,500","52,800","52,100","4,878,057,345,000","0.27","92,915,378","19,195,856","20.66",
63,086280,현대글로비스,"126,000","-500","-0.4","49,388","6,175,396,089","126,000","126,000","124,500","4,725,000,000,000","0.26","37,500,000","12,521,494","33.39",
64,047810,한국항공우주,"45,750","600","1.3","593,961","26,962,611,950","45,050","45,800","44,750","4,459,486,145,250","0.24","97,475,107","14,129,606","14.50",
65,005830,DB손해보험,"62,600","-300","-0.5","76,091","4,762,039,700","62,700","63,000","62,000","4,432,080,000,000","0.24","70,800,000","32,858,723","46.41",
66,028300,에이치엘비,"112,700","2,800","2.6","719,221","79,831,823,200","109,300","113,000","109,100","4,372,210,700,200","0.24","38,795,126","5,035,605","12.98",
67,008770,호텔신라,"108,500","2,500","2.4","357,142","38,744,456,500","104,500","109,500","104,500","4,258,421,128,500","0.23","39,248,121","13,333,403","33.97",
68,088350,한화생명,"4,860","-40","-0.8","789,758","3,836,522,670","4,880","4,890","4,840","4,221,055,800,000","0.23","868,530,000","153,124,308","17.63",
69,029780,삼성카드,"35,550","-200","-0.6","53,991","1,911,998,650","35,450","35,550","35,250","4,118,783,575,050","0.23","115,858,891","14,570,572","12.58",
70,003670,포스코켐텍,"69,100","2,100","3.1","816,213","56,626,071,210","66,100","71,200","66,100","4,081,737,000,000","0.22","59,070,000","6,550,248","11.09",
71,271560,오리온,"103,000","-1,000","-1.0","75,295","7,765,520,411","103,000","104,000","102,000","4,071,997,983,000","0.22","39,533,961","16,017,535","40.52",
72,006360,GS건설,"51,700","-1,100","-2.1","760,061","39,380,391,350","52,400","53,200","51,100","4,041,616,635,100","0.22","78,174,403","18,329,625","23.45",
73,001040,CJ,"135,500","-500","-0.4","32,071","4,334,607,000","135,500","136,000","134,000","3,953,483,229,000","0.22","29,176,998","5,693,257","19.51",
74,151910,나노스,"8,000","0","0.0","126,468","1,020,235,550","8,050","8,200","8,000","3,926,703,840,000","0.21","490,837,980","228,320","0.05",
75,071050,한국금융지주,"70,000","200","0.3","100,084","6,951,428,349","69,300","70,200","68,600","3,900,819,440,000","0.21","55,725,992","19,248,976","34.54",
76,084990,바이로메드,"243,000","1,700","0.7","148,148","35,994,722,963","241,300","245,600","239,500","3,877,371,180,000","0.21","15,956,260","1,830,872","11.47",
77,086900,메디톡스,"667,000","-14,900","-2.2","59,651","40,044,762,800","684,200","689,100","666,000","3,772,908,845,000","0.21","5,656,535","2,829,518","50.02",
78,005940,NH투자증권,"13,400","-100","-0.7","479,616","6,430,532,295","13,300","13,550","13,250","3,770,879,085,800","0.21","281,408,887","38,798,320","13.79",
79,000120,CJ대한통운,"162,000","-2,500","-1.5","73,456","11,898,381,000","163,000","164,000","159,500","3,695,599,728,000","0.20","22,812,344","3,528,851","15.47",
80,241560,두산밥캣,"36,600","-50","-0.1","121,911","4,425,237,350","36,000","36,750","35,800","3,669,119,475,600","0.20","100,249,166","26,013,239","25.95",
81,042660,대우조선해양,"33,400","900","2.8","582,429","19,401,008,200","32,100","33,700","32,050","3,580,672,116,800","0.20","107,205,752","9,276,914","8.65",
82,002380,KCC,"339,000","-1,000","-0.3","23,965","8,102,963,500","336,500","340,500","335,500","3,578,657,907,000","0.20","10,556,513","2,022,762","19.16",
83,004170,신세계,"361,000","19,500","5.7","120,282","43,155,172,000","339,000","363,500","339,000","3,554,110,341,000","0.19","9,845,181","2,929,340","29.75",
84,028050,삼성엔지니어링,"17,400","50","0.3","705,339","12,178,542,482","17,300","17,400","17,050","3,410,400,000,000","0.19","196,000,000","53,423,528","27.26",
85,282330,BGF리테일,"195,500","500","0.3","13,847","2,706,501,000","193,000","198,000","193,000","3,379,003,623,000","0.18","17,283,906","5,838,543","33.78",
86,012750,에스원,"86,800","1,000","1.2","64,828","5,602,632,929","85,000","87,400","84,700","3,298,328,650,400","0.18","37,999,178","21,061,829","55.43",
87,003410,쌍용양회,"6,500","-80","-1.2","1,744,559","11,348,190,950","6,580","6,740","6,350","3,275,087,367,500","0.18","503,859,595","12,992,919","2.58",
88,001450,현대해상,"36,150","-600","-1.6","573,934","20,885,958,100","36,350","36,950","35,950","3,231,810,000,000","0.18","89,400,000","41,546,812","46.47",
89,088980,맥쿼리인프라,"9,130","-100","-1.1","617,765","5,674,436,660","9,210","9,230","9,130","3,186,774,787,680","0.17","349,044,336","85,976,400","24.63",
90,005387,현대차2우B,"86,000","-1,400","-1.6","60,785","5,251,189,900","87,100","87,900","86,000","3,137,748,786,000","0.17","36,485,451","29,038,282","79.59",
91,017800,현대엘리베이,"113,500","1,500","1.3","1,134,348","128,114,258,525","111,500","117,000","109,000","3,082,463,191,000","0.17","27,158,266","6,376,683","23.48",
92,011070,LG이노텍,"130,000","-2,000","-1.5","352,254","45,476,090,656","129,500","130,500","128,000","3,076,723,910,000","0.17","23,667,107","6,348,174","26.82",
93,009830,한화케미칼,"18,600","-250","-1.3","859,683","15,970,898,052","18,750","18,800","18,450","3,033,853,328,400","0.17","163,110,394","39,704,652","24.34",
94,950160,코오롱티슈진(Reg.S),"49,650","3,200","6.9","1,085,862","52,561,213,400","46,450","49,800","46,400","3,026,027,238,750","0.17","60,947,175","3,487,434","5.72",
95,007070,GS리테일,"39,100","250","0.6","129,343","5,003,689,980","38,850","39,100","38,150","3,010,700,000,000","0.16","77,000,000","16,101,810","20.91",
96,253450,스튜디오드래곤,"107,000","-1,000","-0.9","118,985","12,636,415,800","107,500","107,800","104,600","2,999,984,680,000","0.16","28,037,240","598,489","2.13",
97,011780,금호석유,"96,600","-1,200","-1.2","159,279","15,312,754,280","97,600","97,700","95,200","2,943,178,950,600","0.16","30,467,691","10,110,308","33.18",
98,000210,대림산업,"83,500","-100","-0.1","77,979","6,509,535,190","83,300","84,200","83,100","2,905,800,000,000","0.16","34,800,000","12,996,569","37.35",
99,000100,유한양행,"236,500","-3,000","-1.2","25,233","5,973,515,000","239,000","239,000","235,500","2,887,512,221,000","0.16","12,209,354","2,956,114","24.21",
100,263750,펄어비스,"221,200","-800","-0.4","99,889","22,064,072,225","220,500","222,000","217,000","2,848,281,800,000","0.16","12,876,500","1,190,761","9.25",
101,016360,삼성증권,"31,650","50","0.2","156,448","4,937,977,400","31,400","31,750","31,350","2,826,345,000,000","0.15","89,300,000","22,273,855","24.94",
102,068760,셀트리온제약,"82,500","0","0.0","88,584","7,264,151,445","81,400","82,800","81,100","2,809,001,827,500","0.15","34,048,507","2,067,499","6.07",
103,000150,두산,"143,000","4,000","2.9","95,085","13,374,026,000","138,500","144,000","137,000","2,745,314,429,000","0.15","19,198,003","1,127,198","5.87",
104,003490,대한항공,"28,900","50","0.2","374,874","10,817,181,482","28,700","29,100","28,650","2,741,009,922,600","0.15","94,844,634","15,707,141","16.56",
105,010060,OCI,"113,500","-4,500","-3.8","181,888","21,012,255,750","118,500","119,000","113,000","2,706,903,608,500","0.15","23,849,371","5,854,750","24.55",
106,079440,오렌지라이프,"33,000","-950","-2.8","132,802","4,426,136,300","34,350","34,350","32,650","2,706,000,000,000","0.15","82,000,000","30,910,370","37.70",
107,138930,BNK금융지주,"8,210","-160","-1.9","776,698","6,399,575,580","8,300","8,330","8,200","2,675,928,369,660","0.15","325,935,246","179,435,294","55.05",
108,028670,팬오션,"4,960","-100","-2.0","1,822,331","9,028,339,300","5,030","5,040","4,935","2,651,361,556,960","0.15","534,548,701","50,259,957","9.40",
109,064350,현대로템,"30,850","-750","-2.4","3,431,659","107,653,747,550","31,500","31,850","30,650","2,622,250,000,000","0.14","85,000,000","1,787,359","2.10",
110,294870,HDC현대산업개발,"59,600","-2,500","-4.0","366,042","22,142,421,900","62,200","62,200","59,400","2,618,717,912,000","0.14","43,938,220","13,565,245","30.87",
111,020150,일진머티리얼즈,"56,700","1,500","2.7","446,938","25,166,003,645","54,800","57,000","54,700","2,614,484,344,500","0.14","46,110,835","2,594,122","5.63",
112,081660,휠라코리아,"41,600","1,500","3.7","364,474","15,014,246,400","40,500","41,650","40,350","2,542,386,912,000","0.14","61,115,070","24,343,334","39.83",
113,008560,메리츠종금증권,"4,050","10","0.2","979,788","3,963,131,790","4,000","4,100","3,990","2,452,846,341,600","0.13","605,641,072","36,811,571","6.08",
114,007310,오뚜기,"711,000","-3,000","-0.4","3,044","2,166,593,000","711,000","716,000","710,000","2,445,840,000,000","0.13","3,440,000","586,519","17.05",
115,000880,한화,"31,950","0","0.0","150,708","4,779,436,450","31,800","31,950","31,450","2,394,931,583,250","0.13","74,958,735","18,993,709","25.34",
