순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"45,800","50","0.1","6,771,979","311,102,588,350","46,150","46,150","45,750","294,005,071,260,000","16.38","6,419,324,700",,,2330
2,000660,SK하이닉스,"79,400","-3,900","-4.7","5,910,100","474,806,677,400","82,200","82,300","79,300","57,803,387,781,000","3.22","728,002,365",,,
3,068270,셀트리온,"274,000","-6,500","-2.3","382,303","106,007,050,000","280,500","283,000","272,500","34,358,477,422,000","1.91","125,395,903",,,
4,005935,삼성전자우,"38,000","100","0.3","1,042,488","39,536,632,813","37,900","38,100","37,700","34,337,902,000,000","1.91","903,629,000",,,
5,005490,POSCO,"330,500","8,500","2.6","215,178","71,789,747,000","322,000","337,500","322,000","28,815,248,967,500","1.61","87,186,835",,,
6,051910,LG화학,"381,000","-10,000","-2.6","309,612","118,978,937,500","391,000","393,000","376,500","26,895,682,683,000","1.50","70,592,343",,,
7,005380,현대차,"124,500","500","0.4","317,150","39,531,240,293","124,500","126,000","124,000","26,601,689,281,500","1.48","213,668,187",,,
8,207940,삼성바이오로직스,"398,000","6,000","1.5","112,894","44,719,097,500","392,500","398,500","392,500","26,333,670,000,000","1.47","66,165,000",,,
9,035420,NAVER,"735,000","4,000","0.6","60,607","44,804,434,000","733,000","748,000","731,000","24,227,569,065,000","1.35","32,962,679",,,
10,028260,삼성물산,"121,500","-500","-0.4","192,495","23,515,702,000","122,000","123,000","121,500","23,047,340,224,500","1.28","189,690,043",,,
11,105560,KB금융,"53,100","300","0.6","445,427","23,617,438,200","52,600","53,200","52,500","22,201,722,614,700","1.24","418,111,537",,,
12,012330,현대모비스,"227,500","3,000","1.3","79,586","18,095,958,000","223,500","230,000","223,500","22,145,728,832,500","1.23","97,343,863",,,
13,017670,SK텔레콤,"259,500","2,500","1.0","155,907","40,322,130,500","259,500","260,000","257,500","20,953,512,004,500","1.17","80,745,711",,,
14,055550,신한지주,"43,000","-50","-0.1","661,231","28,476,322,000","43,050","43,250","42,800","20,390,582,241,000","1.14","474,199,587",,,
15,015760,한국전력,"31,050","-800","-2.5","1,859,891","57,692,593,850","31,500","31,600","30,850","19,932,984,590,850","1.11","641,964,077",,,
16,032830,삼성생명,"98,600","3,400","3.6","384,565","37,692,627,800","95,000","99,200","95,000","19,720,000,000,000","1.10","200,000,000",,,
