순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"46,900","100","0.2","12,010,886","562,115,508,475","47,000","47,050","46,450","301,066,328,430,000","16.63","6,419,324,700","3,371,256,006","52.52",2332
2,000660,SK하이닉스,"78,000","-1,800","-2.3","5,587,662","437,940,147,700","80,100","80,300","77,500","56,784,184,470,000","3.14","728,002,365","367,106,195","50.43",
3,068270,셀트리온,"276,000","0","0.0","1,080,868","291,790,405,000","267,000","276,000","263,500","34,609,269,228,000","1.91","125,395,903","27,918,895","22.26",
4,005935,삼성전자우,"38,000","-400","-1.0","729,608","27,832,670,870","38,400","38,450","38,000","34,337,902,000,000","1.90","903,629,000","761,515,246","84.27",
5,207940,삼성바이오로직스,"460,000","6,000","1.3","583,753","272,177,917,500","457,500","480,000","453,000","30,435,900,000,000","1.68","66,165,000","6,462,007","9.77",
6,005490,POSCO,"328,500","-4,500","-1.4","168,451","55,249,037,500","330,500","332,500","325,000","28,640,875,297,500","1.58","87,186,835","50,020,640","57.37",
7,051910,LG화학,"385,000","9,000","2.4","261,641","99,673,458,980","375,500","385,000","371,000","27,178,052,055,000","1.50","70,592,343","26,811,924","37.98",
8,005380,현대차,"126,000","-1,500","-1.2","532,068","67,090,316,500","126,500","127,500","125,500","26,922,191,562,000","1.49","213,668,187","98,034,183","45.88",
9,035420,NAVER,"779,000","29,000","3.9","133,034","102,511,360,500","753,000","779,000","745,000","25,677,926,941,000","1.42","32,962,679","19,945,602","60.51",
10,028260,삼성물산,"125,500","-500","-0.4","363,711","45,829,436,000","126,500","127,000","125,000","23,806,100,396,500","1.32","189,690,043","21,891,449","11.54",
11,012330,현대모비스,"233,000","2,000","0.9","165,783","38,417,550,500","230,000","233,000","228,000","22,681,120,079,000","1.25","97,343,863","47,288,232","48.58",
12,105560,KB금융,"51,800","-800","-1.5","1,086,497","56,512,654,200","52,700","52,800","51,800","21,658,177,616,600","1.20","418,111,537","293,038,624","70.09",
13,017670,SK텔레콤,"257,000","5,000","2.0","188,919","48,552,725,500","255,000","258,500","253,000","20,751,647,727,000","1.15","80,745,711","33,941,357","42.03",
14,055550,신한지주,"43,100","-300","-0.7","1,083,410","46,662,351,050","43,600","43,650","42,850","20,438,002,199,700","1.13","474,199,587","329,403,290","69.47",
15,015760,한국전력,"31,200","850","2.8","1,830,921","56,457,886,300","30,500","31,200","30,350","20,029,279,202,400","1.11","641,964,077","181,995,642","28.35",
16,032830,삼성생명,"97,400","-500","-0.5","208,831","20,388,586,600","97,800","98,300","97,200","19,480,000,000,000","1.08","200,000,000","32,168,831","16.08",
17,051900,LG생활건강,"1,220,000","6,000","0.5","31,033","37,818,441,000","1,218,000","1,227,000","1,210,000","19,054,200,340,000","1.05","15,618,197","7,225,692","46.26",
18,034730,SK,"256,000","-500","-0.2","69,651","17,897,818,000","257,500","259,000","256,000","18,012,236,032,000","1.00","70,360,297","17,829,014","25.34",
19,018260,삼성에스디에스,"227,000","0","0.0","297,671","67,799,134,500","230,000","234,500","223,000","17,564,760,600,000","0.97","77,377,800","9,273,909","11.99",
20,096770,SK이노베이션,"189,500","1,000","0.5","241,354","45,425,326,000","188,500","189,500","186,000","17,522,224,378,000","0.97","92,465,564","37,031,626","40.05",
21,090430,아모레퍼시픽,"269,000","-1,500","-0.6","143,607","38,428,608,000","271,000","272,000","266,000","15,725,333,810,000","0.87","58,458,490","20,260,513","34.66",
22,006400,삼성SDI,"228,500","3,000","1.3","318,853","72,648,486,000","226,000","230,000","222,500","15,712,695,105,000","0.87","68,764,530","26,491,139","38.52",
23,033780,KT&G,"109,500","4,000","3.8","282,628","30,672,470,500","105,500","109,500","105,500","15,033,528,421,500","0.83","137,292,497","74,260,240","54.09",
24,010950,S-Oil,"117,500","1,000","0.9","172,196","20,218,258,500","117,000","118,000","116,000","13,228,478,060,000","0.73","112,582,792","86,429,668","76.77",
25,000810,삼성화재,"279,000","2,000","0.7","55,403","15,434,011,000","278,500","279,500","276,000","13,217,579,523,000","0.73","47,374,837","23,967,946","50.59",
26,066570,LG전자,"80,400","4,500","5.9","2,132,947","168,980,879,700","76,400","80,500","76,000","13,157,284,245,600","0.73","163,647,814","55,600,879","33.98",
27,086790,하나금융지주,"43,600","-850","-1.9","1,303,396","56,863,409,150","44,500","44,500","43,200","13,090,553,903,200","0.72","300,242,062","214,253,546","71.36",
28,000270,기아차,"32,050","-100","-0.3","823,101","26,177,109,900","32,050","32,050","31,350","12,991,895,271,350","0.72","405,363,347","160,149,957","39.51",
29,003550,LG,"73,800","500","0.7","262,028","19,281,803,400","73,400","74,100","73,100","12,734,716,267,800","0.70","172,557,131","58,973,884","34.18",
30,091990,셀트리온헬스케어,"90,100","-1,200","-1.3","767,967","68,478,212,300","88,900","90,800","87,800","12,660,511,782,400","0.70","140,516,224","45,856,311","32.63",
31,011170,롯데케미칼,"343,000","-9,500","-2.7","167,705","58,161,046,500","350,000","358,000","343,000","11,756,468,717,000","0.65","34,275,419","10,688,441","31.18",
32,000030,우리은행,"16,550","-250","-1.5","1,178,606","19,531,901,650","16,850","16,850","16,450","11,187,800,000,000","0.62","676,000,000","183,007,883","27.07",
33,009150,삼성전기,"148,000","-1,500","-1.0","931,030","138,502,453,500","150,000","153,500","147,000","11,054,667,008,000","0.61","74,693,696","22,672,477","30.35",
34,251270,넷마블,"126,000","-16,000","-11.3","1,245,103","157,428,763,500","130,000","130,500","122,500","10,736,481,042,000","0.59","85,210,167","22,107,151","25.94",
35,035720,카카오,"125,500","6,500","5.5","1,622,449","200,776,917,000","121,000","126,000","119,500","9,573,845,561,000","0.53","76,285,622","19,015,222","24.93",
36,024110,기업은행,"15,350","0","0.0","521,857","7,989,872,750","15,400","15,450","15,150","8,595,674,810,250","0.47","559,978,815","132,954,491","23.74",
37,002790,아모레G,"100,500","-500","-0.5","68,870","6,902,484,200","101,500","101,500","99,000","8,287,047,090,000","0.46","82,458,180","16,970,101","20.58",
38,036570,엔씨소프트,"358,000","-1,000","-0.3","176,183","62,923,969,000","358,000","362,500","349,000","7,854,169,876,000","0.43","21,939,022","11,014,542","50.21",
39,034220,LG디스플레이,"21,650","50","0.2","2,225,121","48,340,032,700","21,800","22,100","21,500","7,746,709,905,000","0.43","357,815,700","88,026,135","24.60",
40,009540,현대중공업,"111,500","-1,000","-0.9","187,602","20,995,966,000","111,000","113,500","110,000","7,711,944,999,000","0.43","69,165,426","10,818,447","15.64",
41,030200,KT,"29,000","300","1.0","914,128","27,119,777,146","28,800","29,300","28,750","7,572,242,432,000","0.42","261,111,808","127,944,785","49.00",
42,010130,고려아연,"397,500","-5,500","-1.4","41,533","16,490,017,000","402,500","403,000","391,500","7,500,825,000,000","0.41","18,870,000","4,502,185","23.86",
43,004020,현대제철,"54,900","600","1.1","297,603","16,271,527,300","53,900","54,900","53,800","7,326,173,596,500","0.40","133,445,785","32,402,918","24.28",
44,021240,코웨이,"93,700","1,000","1.1","111,619","10,405,753,300","92,200","93,700","91,300","6,915,024,300,300","0.38","73,799,619","44,451,100","60.23",
45,032640,LG유플러스,"15,500","50","0.3","1,695,750","26,377,291,050","15,550","15,850","15,300","6,767,476,095,500","0.37","436,611,361","162,331,538","37.18",
46,000720,현대건설,"58,900","-200","-0.3","722,746","42,815,661,100","58,800","60,200","58,600","6,558,854,558,500","0.36","111,355,765","23,944,152","21.50",
47,139480,이마트,"226,000","2,500","1.1","130,973","29,364,304,000","224,500","227,000","220,000","6,299,935,094,000","0.35","27,875,819","13,561,696","48.65",
48,267250,현대중공업지주,"372,500","4,000","1.1","58,149","21,730,923,500","368,500","378,500","367,000","6,066,764,832,500","0.34","16,286,617","3,360,362","20.63",
49,004990,롯데지주,"51,300","100","0.2","78,882","4,026,886,400","51,200","51,300","50,800","5,979,847,958,100","0.33","116,566,237","14,625,380","12.55",
50,018880,한온시스템,"11,100","-50","-0.4","969,106","10,619,228,650","11,100","11,150","10,750","5,925,180,000,000","0.33","533,800,000","106,170,018","19.89",
51,023530,롯데쇼핑,"204,000","500","0.2","57,884","11,807,729,500","204,000","205,500","203,000","5,736,897,588,000","0.32","28,122,047","5,723,684","20.35",
52,035250,강원랜드,"26,800","800","3.1","502,254","13,280,566,950","26,000","26,800","25,850","5,733,605,400,000","0.32","213,940,500","58,294,514","27.25",
53,161390,한국타이어,"46,050","800","1.8","179,157","8,183,963,300","45,300","46,050","44,850","5,704,446,927,450","0.32","123,875,069","51,134,747","41.28",
54,035760,CJ ENM,"245,000","8,800","3.7","147,317","35,697,299,000","235,000","246,800","234,500","5,371,964,080,000","0.30","21,926,384","4,583,122","20.90",
55,006800,미래에셋대우,"8,040","-20","-0.2","2,042,511","16,388,576,330","8,120","8,160","7,960","5,292,863,920,320","0.29","658,316,408","78,246,399","11.89",
56,128940,한미약품,"455,000","6,500","1.4","41,359","18,820,374,308","448,500","459,000","445,500","5,180,489,405,000","0.29","11,385,691","1,391,558","12.22",
57,097950,CJ제일제당,"341,500","2,000","0.6","40,712","13,889,742,500","344,500","345,000","338,000","5,140,663,019,000","0.28","15,053,186","3,211,058","21.33",
58,036460,한국가스공사,"54,500","-1,000","-1.8","284,580","15,638,791,800","56,100","56,100","54,300","5,031,058,500,000","0.28","92,313,000","13,087,851","14.18",
59,078930,GS,"52,500","-700","-1.3","186,188","9,790,573,300","53,100","53,200","52,400","4,878,057,345,000","0.27","92,915,378","18,765,176","20.20",
60,008930,한미사이언스,"76,800","700","0.9","64,653","4,929,584,300","75,800","76,800","75,000","4,876,743,705,600","0.27","63,499,267","2,635,412","4.15",
61,086280,현대글로비스,"128,000","-2,500","-1.9","128,670","16,633,631,500","131,000","132,000","128,000","4,800,000,000,000","0.27","37,500,000","12,377,676","33.01",
62,271560,오리온,"120,500","-3,000","-2.4","242,785","28,968,697,000","124,000","124,500","116,500","4,763,786,870,500","0.26","39,533,501","16,389,681","41.46",
63,005830,DB손해보험,"66,200","0","0.0","153,370","10,116,517,400","66,000","66,500","65,400","4,686,960,000,000","0.26","70,800,000","33,024,759","46.65",
64,088350,한화생명,"5,150","30","0.6","711,246","3,661,040,510","5,110","5,190","5,110","4,472,929,500,000","0.25","868,530,000","154,610,357","17.80",
65,215600,신라젠,"62,200","3,300","5.6","2,958,273","179,997,090,300","58,500","62,600","57,400","4,326,758,452,600","0.24","69,562,033","5,822,861","8.37",
66,008770,호텔신라,"107,000","3,000","2.9","515,598","54,403,302,500","104,000","108,000","102,000","4,199,548,947,000","0.23","39,248,121","13,682,034","34.86",
67,001040,CJ,"142,000","-1,500","-1.0","63,800","9,096,657,500","143,500","144,000","142,000","4,143,133,716,000","0.23","29,176,998","5,591,235","19.16",
68,010140,삼성중공업,"6,570","-50","-0.8","1,533,395","10,078,062,580","6,620","6,640","6,510","4,139,100,000,000","0.23","630,000,000","105,353,392","16.72",
69,029780,삼성카드,"35,250","-100","-0.3","82,168","2,893,857,050","35,350","35,400","35,000","4,084,025,907,750","0.23","115,858,891","14,759,156","12.74",
70,086900,메디톡스,"720,000","-800","-0.1","18,682","13,547,748,700","720,000","733,800","716,100","4,072,705,200,000","0.23","5,656,535","2,911,984","51.48",
71,151910,나노스,"7,870","-280","-3.4","144,456","1,147,860,040","8,160","8,160","7,660","3,862,894,902,600","0.21","490,837,980","232,837","0.05",
72,071050,한국금융지주,"67,400","-1,100","-1.6","236,199","15,980,315,000","69,100","69,100","66,800","3,755,931,860,800","0.21","55,725,992","19,981,396","35.86",
73,011070,LG이노텍,"155,500","2,500","1.6","126,875","19,532,241,500","153,500","155,500","151,000","3,680,235,138,500","0.20","23,667,107","6,390,978","27.00",
74,002380,KCC,"342,000","-500","-0.2","21,332","7,264,661,000","340,500","343,500","339,000","3,610,327,446,000","0.20","10,556,513","2,065,532","19.57",
75,005940,NH투자증권,"12,500","-400","-3.1","2,148,089","26,860,410,450","12,950","12,950","12,300","3,517,611,087,500","0.19","281,408,887","39,766,141","14.13",
