순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"46,300","150","0.3","5,263,782","243,696,166,492","46,100","46,550","46,000","297,214,733,610,000","16.40","6,419,324,700","3,372,090,402","52.53",2335
2,000660,SK하이닉스,"83,500","1,700","2.1","3,070,598","254,582,534,500","82,100","83,800","81,600","60,788,197,477,500","3.35","728,002,365","363,887,959","49.98",
3,068270,셀트리온,"278,000","-1,500","-0.5","440,141","123,297,887,500","280,500","284,000","277,500","34,860,061,034,000","1.92","125,395,903","27,948,732","22.29",
4,005935,삼성전자우,"38,200","150","0.4","1,067,319","40,631,430,650","38,350","38,400","37,900","34,518,627,800,000","1.90","903,629,000","762,755,919","84.41",
5,207940,삼성바이오로직스,"454,500","-3,500","-0.8","150,867","69,278,001,000","461,000","467,000","453,500","30,071,992,500,000","1.66","66,165,000","6,489,845","9.81",
6,005490,POSCO,"325,000","6,000","1.9","193,478","62,822,758,500","321,500","328,500","320,500","28,335,721,375,000","1.56","87,186,835","49,703,357","57.01",
7,005380,현대차,"124,000","-500","-0.4","226,756","28,089,208,000","125,000","125,500","123,500","26,494,855,188,000","1.46","213,668,187","98,246,140","45.98",
8,051910,LG화학,"372,000","6,000","1.6","271,726","100,074,221,500","366,000","374,500","360,500","26,260,351,596,000","1.45","70,592,343","26,772,403","37.93",
9,035420,NAVER,"769,000","11,000","1.4","44,748","34,426,025,000","763,000","775,000","760,000","25,348,300,151,000","1.40","32,962,679","19,997,838","60.67",
10,028260,삼성물산,"122,000","-1,500","-1.2","252,022","30,777,577,500","123,000","123,000","121,500","23,142,185,246,000","1.28","189,690,043","22,213,730","11.71",
11,012330,현대모비스,"230,000","-2,000","-0.9","132,308","30,469,443,500","231,000","232,500","229,000","22,389,088,490,000","1.24","97,343,863","47,440,847","48.74",
12,105560,KB금융,"52,800","1,200","2.3","1,098,129","57,564,615,400","51,700","52,900","51,600","22,076,289,153,600","1.22","418,111,537","292,779,659","70.02",
13,017670,SK텔레콤,"261,000","-2,500","-1.0","153,181","40,088,528,287","264,500","265,000","259,500","21,074,630,571,000","1.16","80,745,711","34,310,127","42.49",
14,055550,신한지주,"42,950","1,150","2.8","970,760","41,318,502,450","41,900","43,000","41,900","20,366,872,261,650","1.12","474,199,587","328,850,770","69.35",
15,051900,LG생활건강,"1,280,000","24,000","1.9","34,287","43,651,329,000","1,275,000","1,285,000","1,256,000","19,991,292,160,000","1.10","15,618,197","7,215,651","46.20",
16,015760,한국전력,"30,750","0","0.0","833,599","25,731,016,250","30,850","31,100","30,750","19,740,395,367,750","1.09","641,964,077","180,508,962","28.12",
17,034730,SK,"266,000","1,500","0.6","46,522","12,317,688,000","266,500","267,500","263,000","18,715,839,002,000","1.03","70,360,297","17,886,767","25.42",
18,032830,삼성생명,"92,200","700","0.8","163,088","14,974,707,600","91,500","92,300","91,200","18,440,000,000,000","1.02","200,000,000","32,200,411","16.10",
19,096770,SK이노베이션,"197,000","-500","-0.2","67,234","13,239,868,500","198,500","199,000","196,000","18,215,716,108,000","1.00","92,465,564","37,156,945","40.18",
20,018260,삼성에스디에스,"233,500","1,000","0.4","84,537","19,732,103,000","233,500","234,500","231,500","18,067,716,300,000","1.00","77,377,800","9,408,564","12.16",
21,006400,삼성SDI,"233,000","9,000","4.0","394,144","91,210,716,000","226,000","234,000","224,500","16,022,135,490,000","0.88","68,764,530","26,533,504","38.59",
22,090430,아모레퍼시픽,"269,500","0","0.0","112,660","30,347,791,000","271,500","272,000","267,000","15,754,563,055,000","0.87","58,458,490","20,334,987","34.79",
23,033780,KT&G,"103,500","-500","-0.5","140,875","14,603,477,000","104,000","104,500","103,000","14,209,773,439,500","0.78","137,292,497","74,202,099","54.05",
24,010950,S-Oil,"122,000","-1,000","-0.8","150,098","18,363,541,500","123,500","123,500","121,500","13,735,100,624,000","0.76","112,582,792","87,192,733","77.45",
25,091990,셀트리온헬스케어,"92,700","-1,500","-1.6","528,691","49,517,449,300","95,000","95,300","92,600","13,026,347,592,300","0.72","140,521,549","45,997,172","32.73",
26,086790,하나금융지주,"43,300","650","1.5","558,681","24,037,062,300","42,850","43,300","42,600","13,000,481,284,600","0.72","300,242,062","214,211,931","71.35",
27,000270,기아차,"31,500","250","0.8","459,652","14,458,614,200","31,300","31,650","31,250","12,768,945,430,500","0.70","405,363,347","161,148,409","39.75",
28,000810,삼성화재,"266,000","-4,000","-1.5","84,948","22,633,730,500","270,500","271,500","264,500","12,601,706,642,000","0.70","47,374,837","23,945,284","50.54",
29,003550,LG,"70,800","200","0.3","222,607","15,775,400,400","70,700","71,600","70,000","12,217,044,874,800","0.67","172,557,131","59,177,222","34.29",
30,066570,LG전자,"74,300","-400","-0.5","863,531","64,059,894,400","74,400","75,200","73,700","12,159,032,580,200","0.67","163,647,814","53,304,183","32.57",
31,009150,삼성전기,"159,000","6,500","4.3","872,233","137,144,951,000","153,500","159,500","152,500","11,876,297,664,000","0.66","74,693,696","22,794,350","30.52",
32,000030,우리은행,"16,350","0","0.0","922,012","15,025,688,900","16,400","16,400","16,200","11,052,600,000,000","0.61","676,000,000","184,630,830","27.31",
33,011170,롯데케미칼,"311,000","-500","-0.2","175,243","54,790,368,000","309,500","317,000","309,500","10,659,655,309,000","0.59","34,275,419","10,407,750","30.37",
34,251270,넷마블,"122,500","-1,000","-0.8","214,003","26,610,733,500","125,000","127,500","122,500","10,438,759,222,500","0.58","85,214,361","21,929,185","25.73",
35,035720,카카오,"128,000","4,000","3.2","588,666","74,710,393,000","124,000","128,000","124,000","9,764,623,616,000","0.54","76,286,122","19,218,416","25.19",
36,036570,엔씨소프트,"390,000","-1,000","-0.3","86,533","34,131,230,000","388,000","400,500","388,000","8,556,218,580,000","0.47","21,939,022","11,027,888","50.27",
37,024110,기업은행,"15,050","0","0.0","344,976","5,176,670,100","15,050","15,100","14,950","8,427,681,165,750","0.46","559,978,815","133,141,469","23.78",
38,002790,아모레G,"98,400","-1,300","-1.3","103,117","10,162,015,800","100,000","100,500","98,000","8,113,884,912,000","0.45","82,458,180","16,924,566","20.53",
