순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"2,560,000","23,000","0.9","163,865","414,791,150,437","2,535,000","2,560,000","2,505,000","328,669,424,640,000","16.91","128,386,494","67,267,583","52.39",2312
2,000660,SK하이닉스,"89,600","-300","-0.3","3,083,666","274,080,832,700","88,900","89,700","88,000","65,229,011,904,000","3.36","728,002,365","364,811,599","50.11",
3,068270,셀트리온,"322,500","3,500","1.1","1,160,725","370,202,345,500","316,000","325,000","312,500","39,559,921,740,000","2.04","122,666,424","28,595,541","23.31",
4,005935,삼성전자우,"2,100,000","18,000","0.9","20,666","42,976,655,890","2,072,000","2,100,000","2,066,000","37,952,418,000,000","1.95","18,072,580","15,039,362","83.22",
5,005380,현대차,"152,500","1,000","0.7","311,027","47,299,406,500","150,500","153,500","150,000","33,592,163,047,500","1.73","220,276,479","101,703,303","46.17",
6,207940,삼성바이오로직스,"462,000","12,000","2.7","174,693","79,859,532,500","448,000","462,500","448,000","30,568,230,000,000","1.57","66,165,000","6,637,738","10.03",
7,005490,POSCO,"340,500","-2,500","-0.7","239,582","81,948,892,000","343,500","348,000","339,000","29,687,117,317,500","1.53","87,186,835","50,171,999","57.55",
8,051910,LG화학,"406,500","1,500","0.4","144,071","58,161,456,500","402,000","407,000","399,500","28,695,787,429,500","1.48","70,592,343","28,568,877","40.47",
9,105560,KB금융,"63,600","700","1.1","781,270","49,309,074,896","62,800","63,600","62,400","26,591,893,753,200","1.37","418,111,537","290,893,398","69.57",
10,035420,NAVER,"795,000","10,000","1.3","88,391","69,612,965,000","777,000","796,000","774,000","26,205,329,805,000","1.35","32,962,679","19,448,565","59.00",
11,028260,삼성물산,"134,000","1,000","0.8","150,517","20,090,380,000","132,000","134,500","132,000","25,418,465,762,000","1.31","189,690,043","18,972,952","10.00",
12,032830,삼성생명,"117,000","-500","-0.4","137,433","16,080,512,500","116,500","118,000","116,000","23,400,000,000,000","1.20","200,000,000","32,362,071","16.18",
13,012330,현대모비스,"233,500","7,500","3.3","353,851","81,696,632,500","222,000","235,000","221,500","22,729,792,010,500","1.17","97,343,863","46,465,215","47.73",
14,034730,SK,"310,000","500","0.2","50,449","15,531,173,000","305,000","310,000","305,000","21,811,692,070,000","1.12","70,360,297","17,022,380","24.19",
15,055550,신한지주,"45,050","0","0.0","699,218","31,322,788,262","44,600","45,100","44,400","21,362,691,394,350","1.10","474,199,587","327,390,276","69.04",
16,015760,한국전력,"31,650","-150","-0.5","1,028,597","32,583,439,550","31,700","31,950","31,550","20,318,163,037,050","1.05","641,964,077","195,541,763","30.46",
17,018260,삼성에스디에스,"258,500","8,000","3.2","104,704","26,604,124,000","248,000","258,500","247,000","20,002,161,300,000","1.03","77,377,800","8,418,200","10.88",
18,096770,SK이노베이션,"211,500","500","0.2","150,867","31,705,242,500","209,000","211,500","208,500","19,556,466,786,000","1.01","92,465,564","38,818,227","41.98",
19,017670,SK텔레콤,"232,500","-6,500","-2.7","226,322","52,770,724,500","236,500","236,500","232,000","18,773,377,807,500","0.97","80,745,711","32,755,024","40.57",
20,051900,LG생활건강,"1,153,000","4,000","0.4","30,720","35,377,229,000","1,144,000","1,160,000","1,138,000","18,007,781,141,000","0.93","15,618,197","7,201,185","46.11",
21,066570,LG전자,"110,000","-1,000","-0.9","488,409","53,681,450,000","110,000","111,000","109,000","18,001,259,540,000","0.93","163,647,814","56,841,438","34.73",
22,090430,아모레퍼시픽,"300,500","-4,000","-1.3","232,860","69,247,896,000","287,000","302,000","287,000","17,566,776,245,000","0.90","58,458,490","19,365,748","33.13",
23,091990,셀트리온헬스케어,"113,000","5,400","5.0","1,219,444","134,494,534,400","106,300","113,400","106,000","15,540,270,760,000","0.80","137,524,520","46,124,996","33.54",
24,003550,LG,"89,300","-300","-0.3","147,701","13,180,062,600","89,100","90,100","88,600","15,409,351,798,300","0.79","172,557,131","56,126,186","32.53",
25,011170,롯데케미칼,"436,000","10,500","2.5","117,616","51,331,824,000","427,500","441,500","427,500","14,944,082,684,000","0.77","34,275,419","11,291,700","32.94",
26,006400,삼성SDI,"208,500","2,500","1.2","289,067","59,509,784,500","203,500","209,000","201,500","14,337,404,505,000","0.74","68,764,530","28,309,276","41.17",
27,086790,하나금융지주,"47,700","-400","-0.8","685,715","32,655,888,950","48,100","48,100","47,200","14,119,346,057,400","0.73","296,003,062","219,829,481","74.27",
28,033780,KT&G,"99,700","300","0.3","252,716","25,214,224,272","99,400","100,500","99,000","13,688,061,950,900","0.70","137,292,497","72,897,011","53.10",
