순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"46,150","-50","-0.1","6,582,535","302,213,248,900","45,900","46,400","45,550","296,251,834,905,000","16.39","6,419,324,700","3,371,138,294","52.52",2335
2,000660,SK하이닉스,"81,800","700","0.9","3,612,709","293,497,347,800","80,400","82,200","79,600","59,550,593,457,000","3.30","728,002,365","363,774,544","49.97",
3,068270,셀트리온,"279,500","5,500","2.0","591,776","164,355,150,500","274,500","281,000","271,500","35,048,154,888,500","1.94","125,395,903","27,945,324","22.29",
4,005935,삼성전자우,"38,050","-100","-0.3","682,736","25,866,331,000","38,050","38,150","37,600","34,383,083,450,000","1.90","903,629,000","762,577,708","84.39",
5,207940,삼성바이오로직스,"458,000","7,500","1.7","136,133","61,929,091,500","451,500","459,000","445,000","30,303,570,000,000","1.68","66,165,000","6,505,641","9.83",
6,005490,POSCO,"319,000","2,000","0.6","145,879","46,279,760,000","315,000","321,000","312,000","27,812,600,365,000","1.54","87,186,835","49,710,138","57.02",
7,005380,현대차,"124,500","0","0.0","232,363","28,791,158,000","123,500","124,500","123,000","26,601,689,281,500","1.47","213,668,187","98,295,721","46.00",
8,051910,LG화학,"366,000","9,500","2.7","288,319","104,621,569,200","355,500","366,500","352,500","25,836,797,538,000","1.43","70,592,343","26,782,786","37.94",
9,035420,NAVER,"758,000","-14,000","-1.8","54,260","41,416,156,945","771,000","779,000","755,000","24,985,710,682,000","1.38","32,962,679","19,991,044","60.65",
10,028260,삼성물산,"123,500","0","0.0","179,446","21,997,570,000","123,000","123,500","122,000","23,426,720,310,500","1.30","189,690,043","22,186,909","11.70",
11,012330,현대모비스,"232,000","2,000","0.9","164,608","37,872,134,500","230,000","232,500","228,000","22,583,776,216,000","1.25","97,343,863","47,421,248","48.72",
12,105560,KB금융,"51,600","800","1.6","629,246","32,374,871,000","51,100","51,900","50,900","21,574,555,309,200","1.19","418,111,537","292,785,033","70.03",
13,017670,SK텔레콤,"263,500","5,000","1.9","152,874","40,050,177,000","258,000","263,500","255,500","21,276,494,848,500","1.18","80,745,711","34,271,204","42.44",
14,055550,신한지주,"41,800","350","0.8","795,199","32,980,360,333","41,400","41,850","41,200","19,821,542,736,600","1.10","474,199,587","328,737,901","69.32",
15,015760,한국전력,"30,750","150","0.5","851,980","26,184,201,450","30,550","30,900","30,550","19,740,395,367,750","1.09","641,964,077","180,414,840","28.10",
16,051900,LG생활건강,"1,256,000","4,000","0.3","27,448","34,459,301,000","1,250,000","1,262,000","1,243,000","19,616,455,432,000","1.09","15,618,197","7,218,411","46.22",
17,034730,SK,"264,500","1,000","0.4","44,600","11,725,036,000","262,500","264,500","261,500","18,610,298,556,500","1.03","70,360,297","17,874,151","25.40",
18,032830,삼성생명,"91,500","-400","-0.4","167,063","15,280,129,100","91,300","93,100","90,900","18,300,000,000,000","1.01","200,000,000","32,164,845","16.08",
19,096770,SK이노베이션,"197,500","2,000","1.0","122,310","24,084,975,000","195,500","198,500","195,500","18,261,948,890,000","1.01","92,465,564","37,157,160","40.18",
20,018260,삼성에스디에스,"232,500","4,000","1.8","114,768","26,572,167,000","227,000","233,500","227,000","17,990,338,500,000","1.00","77,377,800","9,382,428","12.13",
21,090430,아모레퍼시픽,"269,500","-1,500","-0.6","113,729","30,478,086,500","270,500","270,500","264,500","15,754,563,055,000","0.87","58,458,490","20,327,340","34.77",
22,006400,삼성SDI,"224,000","4,500","2.0","204,084","45,360,513,000","218,500","225,000","217,500","15,403,254,720,000","0.85","68,764,530","26,440,464","38.45",
23,033780,KT&G,"104,000","-1,000","-1.0","228,616","23,848,141,000","104,500","105,000","103,500","14,278,419,688,000","0.79","137,292,497","74,181,026","54.03",
24,010950,S-Oil,"123,000","4,000","3.4","311,334","38,064,149,000","119,000","123,500","119,000","13,847,683,416,000","0.77","112,582,792","87,153,662","77.41",
25,091990,셀트리온헬스케어,"94,200","600","0.6","506,143","47,498,859,400","93,400","95,000","92,500","13,237,129,915,800","0.73","140,521,549","46,059,435","32.78",
26,086790,하나금융지주,"42,650","200","0.5","656,368","27,814,914,750","42,450","42,900","42,050","12,805,323,944,300","0.71","300,242,062","214,280,285","71.37",
27,000810,삼성화재,"270,000","-1,000","-0.4","42,059","11,344,260,056","270,000","271,500","268,500","12,791,205,990,000","0.71","47,374,837","23,938,474","50.53",
28,000270,기아차,"31,250","-400","-1.3","661,605","20,663,705,550","31,450","31,650","31,100","12,667,604,593,750","0.70","405,363,347","161,121,944","39.75",
29,066570,LG전자,"74,700","100","0.1","815,946","60,581,793,500","74,100","75,200","73,400","12,224,491,705,800","0.68","163,647,814","53,443,147","32.66",
30,003550,LG,"70,600","100","0.1","173,750","12,174,921,800","70,200","70,600","69,300","12,182,533,448,600","0.67","172,557,131","59,160,280","34.28",
31,009150,삼성전기,"152,500","5,000","3.4","707,898","106,824,280,000","147,000","154,000","145,500","11,390,788,640,000","0.63","74,693,696","22,452,568","30.06",
32,000030,우리은행,"16,350","100","0.6","891,123","14,523,701,512","16,200","16,350","16,200","11,052,600,000,000","0.61","676,000,000","184,482,682","27.29",
33,011170,롯데케미칼,"311,500","500","0.2","146,181","45,343,847,000","309,000","313,000","304,000","10,676,793,018,500","0.59","34,275,419","10,423,086","30.41",
34,251270,넷마블,"123,500","1,000","0.8","153,723","18,877,547,500","122,000","124,000","120,500","10,523,973,583,500","0.58","85,214,361","21,984,989","25.80",
35,035720,카카오,"124,000","-1,500","-1.2","283,256","35,068,230,000","125,000","125,000","123,000","9,459,479,128,000","0.52","76,286,122","19,173,114","25.13",
36,036570,엔씨소프트,"391,000","5,500","1.4","141,200","55,497,728,500","386,000","396,000","385,500","8,578,157,602,000","0.47","21,939,022","11,027,155","50.26",
37,024110,기업은행,"15,050","100","0.7","382,811","5,726,209,300","14,950","15,050","14,850","8,427,681,165,750","0.47","559,978,815","133,128,338","23.77",
38,002790,아모레G,"99,700","-800","-0.8","71,611","7,119,674,900","100,500","100,500","98,700","8,221,080,546,000","0.45","82,458,180","16,932,855","20.54",
39,009540,현대중공업,"114,000","-1,000","-0.9","161,097","18,267,980,000","115,000","115,000","112,000","7,884,858,564,000","0.44","69,165,426","10,952,075","15.83",
40,034220,LG디스플레이,"21,450","-650","-2.9","3,263,434","69,963,499,500","22,000","22,000","21,150","7,675,146,765,000","0.42","357,815,700","86,127,478","24.07",
41,030200,KT,"28,800","450","1.6","489,343","14,015,321,500","28,250","28,800","28,250","7,520,020,070,400","0.42","261,111,808","127,944,786","49.00",
42,010130,고려아연,"395,500","6,500","1.7","23,574","9,258,541,650","387,000","396,000","386,000","7,463,085,000,000","0.41","18,870,000","4,451,518","23.59",
43,032640,LG유플러스,"16,300","450","2.8","2,029,515","32,777,044,850","15,850","16,350","15,800","7,116,765,184,300","0.39","436,611,361","169,257,161","38.77",
44,000720,현대건설,"63,900","400","0.6","822,120","52,541,054,600","63,900","64,400","63,100","7,115,633,383,500","0.39","111,355,765","24,212,538","21.74",
45,004020,현대제철,"52,800","0","0.0","172,851","9,064,328,200","52,700","52,900","52,100","7,045,937,448,000","0.39","133,445,785","32,450,086","24.32",
46,021240,코웨이,"91,500","0","0.0","91,759","8,390,818,300","91,100","92,300","90,800","6,752,665,138,500","0.37","73,799,619","44,557,785","60.38",
47,018880,한온시스템,"11,950","150","1.3","462,485","5,500,150,250","11,700","12,050","11,650","6,378,910,000,000","0.35","533,800,000","106,085,096","19.87",
48,035250,강원랜드,"29,650","-100","-0.3","227,975","6,755,728,700","29,950","29,950","29,250","6,343,335,825,000","0.35","213,940,500","59,996,489","28.04",
49,267250,현대중공업지주,"378,500","-13,000","-3.3","52,577","19,849,578,000","391,500","391,500","374,500","6,164,484,534,500","0.34","16,286,617","3,366,431","20.67",
50,139480,이마트,"210,500","3,000","1.4","50,163","10,489,026,500","207,500","211,000","206,000","5,867,859,899,500","0.32","27,875,819","13,527,596","48.53",
51,035760,CJ ENM,"259,200","13,500","5.5","152,293","38,935,997,400","245,000","261,700","242,500","5,683,318,732,800","0.31","21,926,384","4,468,685","20.38",
52,004990,롯데지주,"48,400","-150","-0.3","93,560","4,522,228,900","48,400","48,600","48,150","5,641,805,870,800","0.31","116,566,237","14,649,594","12.57",
53,161390,한국타이어,"44,900","1,000","2.3","198,137","8,804,818,550","43,900","45,000","43,700","5,561,990,598,100","0.31","123,875,069","51,196,777","41.33",
54,006800,미래에셋대우,"7,980","40","0.5","1,121,698","8,853,722,860","7,910","8,000","7,820","5,253,364,935,840","0.29","658,316,408","80,019,897","12.16",
55,128940,한미약품,"461,000","13,500","3.0","52,499","24,002,122,000","448,500","461,500","448,500","5,248,803,551,000","0.29","11,385,691","1,412,758","12.41",
56,008930,한미사이언스,"80,500","1,400","1.8","88,916","7,127,899,700","79,200","80,700","78,600","5,111,690,993,500","0.28","63,499,267","2,687,354","4.23",
57,097950,CJ제일제당,"338,500","1,000","0.3","22,804","7,726,118,000","339,000","341,000","337,000","5,095,503,461,000","0.28","15,053,186","3,233,841","21.48",
58,023530,롯데쇼핑,"180,000","1,000","0.6","79,017","14,172,674,500","179,000","180,500","178,500","5,091,975,900,000","0.28","28,288,755","5,602,393","19.80",
59,078930,GS,"53,600","400","0.8","111,392","5,942,691,600","53,000","53,800","52,900","4,980,264,260,800","0.28","92,915,378","18,881,239","20.32",
60,036460,한국가스공사,"53,900","500","0.9","129,646","6,965,370,200","53,700","54,100","53,100","4,975,670,700,000","0.28","92,313,000","13,411,689","14.53",
61,086280,현대글로비스,"125,500","500","0.4","36,263","4,541,338,500","124,500","126,000","124,000","4,706,250,000,000","0.26","37,500,000","12,465,681","33.24",
62,005830,DB손해보험,"66,100","-1,200","-1.8","150,417","9,957,183,800","66,500","67,300","65,700","4,679,880,000,000","0.26","70,800,000","33,001,628","46.61",
63,215600,신라젠,"65,000","2,200","3.5","2,110,154","137,683,865,800","64,600","66,600","63,700","4,529,982,145,000","0.25","69,692,033","5,961,028","8.55",
64,010140,삼성중공업,"7,000","-130","-1.8","2,586,272","18,070,026,370","7,110","7,120","6,930","4,410,000,000,000","0.24","630,000,000","110,577,898","17.55",
65,271560,오리온,"107,000","-1,000","-0.9","55,897","5,977,517,000","107,500","108,000","105,500","4,230,084,607,000","0.23","39,533,501","16,308,803","41.25",
66,008770,호텔신라,"107,500","2,000","1.9","407,399","43,477,037,500","106,000","108,000","105,000","4,219,173,007,500","0.23","39,248,121","13,751,986","35.04",
67,088350,한화생명,"4,805","-35","-0.7","1,448,366","6,968,158,960","4,830","4,865","4,795","4,173,286,650,000","0.23","868,530,000","153,381,148","17.66",
68,151910,나노스,"8,320","-180","-2.1","227,980","1,886,087,240","8,550","8,550","8,020","4,083,771,993,600","0.23","490,837,980","216,937","0.04",
69,029780,삼성카드,"34,950","450","1.3","72,859","2,533,519,750","34,350","35,200","34,300","4,049,268,240,450","0.22","115,858,891","14,656,259","12.65",
70,028300,에이치엘비,"103,400","3,900","3.9","808,498","82,118,436,100","100,000","104,500","98,900","3,954,943,498,000","0.22","38,248,970","4,412,479","11.54",
71,047810,한국항공우주,"40,400","700","1.8","471,664","18,955,108,550","39,600","40,600","39,300","3,937,994,322,800","0.22","97,475,107","13,892,382","14.25",
72,001040,CJ,"134,500","-1,500","-1.1","118,459","15,820,941,000","135,500","137,000","132,000","3,924,306,231,000","0.22","29,176,998","5,599,906","19.19",
73,071050,한국금융지주,"68,200","-300","-0.4","154,500","10,465,782,600","68,000","68,700","66,700","3,800,512,654,400","0.21","55,725,992","19,558,484","35.10",
74,006360,GS건설,"48,050","-50","-0.1","370,566","17,755,380,850","48,200","48,450","47,350","3,756,280,064,150","0.21","78,174,403","17,687,874","22.63",
75,005940,NH투자증권,"12,750","50","0.4","699,419","8,829,347,800","12,600","12,850","12,450","3,587,963,309,250","0.20","281,408,887","39,880,175","14.17",
76,084990,바이로메드,"221,100","3,600","1.7","126,525","27,581,878,600","216,800","221,500","214,500","3,527,929,086,000","0.20","15,956,260","1,609,845","10.09",
77,000120,CJ대한통운,"154,500","-2,500","-1.6","34,446","5,327,645,000","156,000","156,500","154,000","3,524,507,148,000","0.20","22,812,344","3,657,131","16.03",
78,002380,KCC,"333,500","-1,000","-0.3","12,543","4,183,438,500","333,000","337,500","332,000","3,520,597,085,500","0.19","10,556,513","2,055,330","19.47",
79,241560,두산밥캣,"34,850","-150","-0.4","128,801","4,490,817,650","34,900","35,100","34,500","3,493,683,435,100","0.19","100,249,166","25,859,244","25.79",
80,086900,메디톡스,"614,900","-10,300","-1.6","33,333","20,483,660,500","622,000","624,000","610,500","3,478,203,371,500","0.19","5,656,535","2,876,594","50.85",
81,001450,현대해상,"37,650","100","0.3","180,315","6,762,530,100","37,550","37,750","37,150","3,365,910,000,000","0.19","89,400,000","41,753,974","46.70",
82,012750,에스원,"86,200","600","0.7","32,517","2,782,993,100","85,300","86,400","84,800","3,275,529,143,600","0.18","37,999,178","21,171,214","55.71",
