순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"2,450,000","7,000","0.3","249,325","612,210,717,000","2,472,000","2,472,000","2,444,000","314,546,910,300,000","16.40","128,386,494","66,973,422","52.17",2314
2,000660,SK하이닉스,"84,000","2,800","3.4","5,725,102","480,101,483,900","81,900","85,100","81,500","61,152,198,660,000","3.19","728,002,365","362,810,741","49.84",
3,207940,삼성바이오로직스,"565,000","-19,000","-3.2","273,812","156,450,809,000","577,000","586,000","565,000","37,383,225,000,000","1.95","66,165,000","6,861,081","10.37",
4,005935,삼성전자우,"2,038,000","19,000","0.9","8,862","17,995,639,000","2,027,000","2,039,000","2,018,000","36,831,918,040,000","1.92","18,072,580","15,006,461","83.03",
5,068270,셀트리온,"298,500","500","0.2","1,030,225","305,446,362,000","299,000","303,000","293,000","36,615,927,564,000","1.91","122,666,424","27,898,052","22.74",
6,005380,현대차,"152,000","2,000","1.3","297,375","44,920,402,500","151,000","152,500","150,000","33,482,024,808,000","1.75","220,276,479","101,821,295","46.22",
7,005490,POSCO,"321,500","-5,000","-1.5","279,808","90,408,359,500","326,000","327,500","319,000","28,030,567,452,500","1.46","87,186,835","49,945,444","57.29",
8,051910,LG화학,"378,000","11,000","3.0","262,006","98,087,286,339","373,000","379,000","369,500","26,683,905,654,000","1.39","70,592,343","28,385,231","40.21",
9,028260,삼성물산,"138,500","-1,000","-0.7","969,216","135,272,388,000","141,500","142,000","138,000","26,272,070,955,500","1.37","189,690,043","21,675,295","11.43",
10,035420,NAVER,"757,000","-14,000","-1.8","111,805","84,807,730,000","769,000","771,000","755,000","24,952,748,003,000","1.30","32,962,679","19,619,485","59.52",
11,105560,KB금융,"59,200","700","1.2","749,071","44,490,567,900","58,700","59,800","58,600","24,752,202,990,400","1.29","418,111,537","290,921,309","69.58",
12,012330,현대모비스,"251,500","-10,500","-4.0","364,527","93,335,582,750","260,500","261,500","251,500","24,481,981,544,500","1.28","97,343,863","47,279,323","48.57",
13,032830,삼성생명,"113,500","-1,000","-0.9","259,276","29,541,737,500","114,500","115,000","113,500","22,700,000,000,000","1.18","200,000,000","32,178,329","16.09",
