순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"46,100","-500","-1.1","9,040,553","416,318,421,951","46,200","46,400","45,800","295,930,868,670,000","16.36","6,419,324,700","3,380,025,689","52.65",2337
2,000660,SK하이닉스,"78,800","-1,200","-1.5","4,516,654","353,117,966,300","78,300","78,900","77,400","57,366,586,362,000","3.17","728,002,365","361,786,489","49.70",
3,068270,셀트리온,"277,500","3,000","1.1","447,961","123,767,265,500","275,000","279,000","271,000","34,797,363,082,500","1.92","125,395,903","27,797,641","22.17",
4,005935,삼성전자우,"37,200","-750","-2.0","640,228","23,916,590,650","37,700","37,800","37,200","33,614,998,800,000","1.86","903,629,000","762,580,472","84.39",
5,207940,삼성바이오로직스,"459,000","-4,000","-0.9","101,433","46,658,469,000","463,500","466,500","456,000","30,369,735,000,000","1.68","66,165,000","6,443,582","9.74",
6,005380,현대차,"134,000","5,000","3.9","935,048","124,905,380,000","130,000","136,000","130,000","28,631,537,058,000","1.58","213,668,187","98,657,520","46.17",
7,005490,POSCO,"308,500","-1,000","-0.3","256,043","79,366,013,500","308,000","312,500","307,500","26,897,138,597,500","1.49","87,186,835","49,131,446","56.35",
8,051910,LG화학,"351,000","-7,000","-2.0","272,191","96,330,643,808","358,000","360,500","349,000","24,777,912,393,000","1.37","70,592,343","26,640,002","37.74",
9,035420,NAVER,"730,000","-6,000","-0.8","70,491","51,561,374,391","736,000","740,000","727,000","24,062,755,670,000","1.33","32,962,679","20,027,578","60.76",
10,028260,삼성물산,"126,500","1,500","1.2","212,495","26,804,836,000","125,000","127,000","125,000","23,995,790,439,500","1.33","189,690,043","22,491,798","11.86",
11,012330,현대모비스,"231,500","5,000","2.2","191,522","44,148,450,500","225,000","233,000","225,000","22,535,104,284,500","1.25","97,343,863","47,400,601","48.69",
12,017670,SK텔레콤,"261,500","-1,000","-0.4","81,581","21,442,460,000","262,500","265,000","261,500","21,115,003,426,500","1.17","80,745,711","34,290,357","42.47",
13,105560,KB금융,"50,500","100","0.2","630,119","31,864,922,108","50,500","50,900","50,300","21,114,632,618,500","1.17","418,111,537","293,941,422","70.30",
14,055550,신한지주,"42,150","-300","-0.7","2,137,346","90,271,278,057","42,450","42,650","42,100","19,987,512,592,050","1.10","474,199,587","329,352,175","69.45",
15,015760,한국전력,"30,200","150","0.5","683,608","20,681,835,200","30,150","30,400","30,100","19,387,315,125,400","1.07","641,964,077","180,003,512","28.04",
16,051900,LG생활건강,"1,236,000","-18,000","-1.4","19,745","24,506,817,000","1,254,000","1,265,000","1,234,000","19,304,091,492,000","1.07","15,618,197","7,193,024","46.06",
17,034730,SK,"266,000","6,000","2.3","78,891","20,902,988,000","261,000","266,500","260,500","18,715,839,002,000","1.03","70,360,297","17,975,817","25.55",
18,018260,삼성에스디에스,"239,000","500","0.2","79,489","18,984,781,000","236,500","241,500","236,500","18,493,294,200,000","1.02","77,377,800","9,537,972","12.33",
19,032830,삼성생명,"91,800","900","1.0","185,541","17,039,428,700","91,000","92,300","91,000","18,360,000,000,000","1.01","200,000,000","32,290,599","16.15",
20,096770,SK이노베이션,"191,000","-500","-0.3","121,498","23,287,924,000","191,500","193,500","191,000","17,660,922,724,000","0.98","92,465,564","37,027,856","40.05",
21,006400,삼성SDI,"242,000","-500","-0.2","280,531","67,738,202,500","240,500","245,000","237,500","16,641,016,260,000","0.92","68,764,530","26,491,544","38.53",
22,090430,아모레퍼시픽,"261,000","0","0.0","77,846","20,321,217,000","261,000","263,000","260,000","15,257,665,890,000","0.84","58,458,490","20,325,904","34.77",
23,033780,KT&G,"99,800","200","0.2","199,426","20,073,725,800","100,000","101,500","99,800","13,701,791,200,600","0.76","137,292,497","74,131,386","54.00",
24,000270,기아차,"33,650","1,450","4.5","2,459,792","82,845,974,150","32,450","34,300","32,450","13,640,476,626,550","0.75","405,363,347","162,776,996","40.16",
25,010950,S-Oil,"120,500","1,500","1.3","239,100","28,847,464,500","119,500","122,000","118,500","13,566,226,436,000","0.75","112,582,792","87,314,436","77.56",
