순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"49,500","100","0.2","6,706,570","332,486,703,661","49,900","49,900","49,350","317,756,572,650,000","16.44","6,419,324,700","3,382,559,228","52.69",2311
2,000660,SK하이닉스,"87,900","1,200","1.4","2,187,789","190,404,218,000","87,200","88,000","85,400","63,991,407,883,500","3.31","728,002,365","366,928,578","50.40",
3,005935,삼성전자우,"39,800","1,050","2.7","900,490","35,446,161,220","39,050","39,800","38,950","35,964,434,200,000","1.86","903,629,000","838,564,245","92.80",
4,068270,셀트리온,"270,000","2,500","0.9","736,242","200,388,881,000","271,500","275,500","269,000","33,856,893,810,000","1.75","125,395,903","27,234,366","21.72",
5,005380,현대차,"150,000","500","0.3","330,193","49,304,619,000","148,500","150,000","148,000","33,041,471,850,000","1.71","220,276,479","101,388,002","46.03",
6,005490,POSCO,"360,500","500","0.1","166,030","60,005,961,419","359,000","365,000","358,000","31,430,854,017,500","1.63","87,186,835","50,289,930","57.68",
7,207940,삼성바이오로직스,"408,500","10,500","2.6","642,658","269,740,799,000","429,500","430,000","406,000","27,028,402,500,000","1.40","66,165,000","6,426,120","9.71",
8,028260,삼성물산,"129,500","500","0.4","333,244","43,444,101,000","131,500","132,000","129,000","24,564,860,568,500","1.27","189,690,043","20,850,870","10.99",
9,051910,LG화학,"344,000","-1,500","-0.4","164,369","57,040,245,000","345,000","350,500","342,500","24,283,765,992,000","1.26","70,592,343","28,037,863","39.72",
10,105560,KB금융,"56,400","-1,200","-2.1","945,596","53,617,816,954","57,400","57,600","56,000","23,581,490,686,800","1.22","418,111,537","291,454,154","69.71",
11,012330,현대모비스,"239,000","1,500","0.6","112,260","26,551,303,500","236,000","239,500","231,500","23,265,183,257,000","1.20","97,343,863","46,438,259","47.71",
12,015760,한국전력,"36,200","-50","-0.1","683,652","24,574,127,450","36,100","36,200","35,650","23,239,099,587,400","1.20","641,964,077","190,403,292","29.66",
13,035420,NAVER,"688,000","-9,000","-1.3","113,041","77,788,153,000","697,000","700,000","684,000","22,678,323,152,000","1.17","32,962,679","19,588,524","59.43",
14,055550,신한지주,"47,750","-450","-0.9","1,289,283","61,470,999,900","48,050","48,200","47,450","22,643,030,279,250","1.17","474,199,587","331,377,542","69.88",
15,032830,삼성생명,"112,000","0","0.0","205,619","22,869,161,500","111,500","112,000","110,500","22,400,000,000,000","1.16","200,000,000","31,936,695","15.97",
16,034730,SK,"303,000","3,000","1.0","59,868","18,036,698,500","300,000","303,000","299,500","21,319,169,991,000","1.10","70,360,297","17,588,847","25.00",
17,051900,LG생활건강,"1,268,000","-1,000","-0.1","12,996","16,535,232,000","1,263,000","1,286,000","1,261,000","19,803,873,796,000","1.02","15,618,197","7,253,207","46.44",
18,090430,아모레퍼시픽,"328,500","6,500","2.0","108,365","35,499,467,000","322,500","330,000","322,500","19,203,613,965,000","0.99","58,458,490","19,816,463","33.90",
19,096770,SK이노베이션,"206,000","2,000","1.0","220,453","45,183,914,000","202,500","206,500","202,500","19,047,906,184,000","0.99","92,465,564","38,653,016","41.80",
20,017670,SK텔레콤,"223,000","1,000","0.4","84,767","18,836,176,060","222,000","223,000","221,000","18,006,293,553,000","0.93","80,745,711","32,929,804","40.78",
21,018260,삼성에스디에스,"221,000","-1,000","-0.4","69,591","15,361,474,000","221,000","222,500","219,500","17,100,493,800,000","0.88","77,377,800","8,973,235","11.60",
22,066570,LG전자,"98,000","0","0.0","473,681","46,227,305,700","98,100","98,700","97,000","16,037,485,772,000","0.83","163,647,814","57,351,081","35.05",
23,003550,LG,"79,800","1,000","1.3","156,780","12,445,826,300","78,800","79,800","78,800","13,770,059,053,800","0.71","172,557,131","58,053,422","33.64",
24,000270,기아차,"33,750","250","0.8","392,847","13,201,828,800","33,200","33,750","33,200","13,681,012,961,250","0.71","405,363,347","155,898,290","38.46",
25,033780,KT&G,"99,600","400","0.4","175,519","17,472,480,800","99,000","99,900","98,800","13,674,332,701,200","0.71","137,292,497","73,227,612","53.34",
