순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"51,300","200","0.4","9,144,100","465,525,312,900","51,100","51,400","50,400","329,311,357,110,000","17.03","6,419,324,700","3,407,892,397","53.09",2311
2,000660,SK하이닉스,"91,000","1,200","1.3","2,758,383","249,932,108,800","89,800","91,300","89,800","66,248,215,215,000","3.43","728,002,365","367,999,022","50.55",
3,005935,삼성전자우,"40,900","0","0.0","832,953","33,985,276,950","40,700","41,000","40,350","36,958,426,100,000","1.91","903,629,000","760,586,123","84.17",
4,068270,셀트리온,"267,000","500","0.2","397,529","106,605,925,500","270,000","271,000","265,500","33,480,706,101,000","1.73","125,395,903","27,145,416","21.65",
5,005380,현대차,"142,500","-500","-0.4","374,748","53,232,488,000","143,500","144,000","140,500","31,389,398,257,500","1.62","220,276,479","99,665,704","45.25",
6,005490,POSCO,"352,500","0","0.0","167,763","59,353,456,000","353,000","356,500","350,500","30,733,359,337,500","1.59","87,186,835","50,493,281","57.91",
7,207940,삼성바이오로직스,"421,000","2,000","0.5","248,976","106,251,267,500","430,000","436,500","419,500","27,855,465,000,000","1.44","66,165,000","6,371,834","9.63",
8,051910,LG화학,"363,500","500","0.1","306,447","111,708,077,500","364,500","368,000","358,000","25,660,316,680,500","1.33","70,592,343","27,791,306","39.37",
9,028260,삼성물산,"123,500","-500","-0.4","383,557","47,434,891,500","124,500","125,000","123,500","23,426,720,310,500","1.21","189,690,043","21,069,891","11.11",
10,105560,KB금융,"55,000","600","1.1","1,107,743","60,918,616,210","54,700","55,400","54,400","22,996,134,535,000","1.19","418,111,537","291,150,323","69.63",
11,035420,NAVER,"674,000","1,000","0.2","67,152","45,282,055,000","678,000","680,000","664,000","22,216,845,646,000","1.15","32,962,679","19,568,796","59.37",
12,012330,현대모비스,"227,500","-3,500","-1.5","121,218","27,541,312,500","228,000","229,500","226,000","22,145,728,832,500","1.15","97,343,863","46,737,563","48.01",
13,055550,신한지주,"45,850","350","0.8","852,324","38,794,268,850","45,450","45,850","44,600","21,742,051,063,950","1.12","474,199,587","331,549,204","69.92",
14,051900,LG생활건강,"1,381,000","19,000","1.4","26,870","36,895,409,546","1,342,000","1,399,000","1,342,000","21,568,730,057,000","1.12","15,618,197","7,317,938","46.86",
15,015760,한국전력,"32,900","0","0.0","1,143,390","37,673,518,800","32,800","33,250","32,700","21,120,618,133,300","1.09","641,964,077","188,527,044","29.37",
16,032830,삼성생명,"103,500","500","0.5","187,418","19,489,217,500","103,000","104,500","103,000","20,700,000,000,000","1.07","200,000,000","32,090,230","16.05",
17,090430,아모레퍼시픽,"337,500","8,000","2.4","89,241","29,900,673,500","329,500","338,000","329,500","19,729,740,375,000","1.02","58,458,490","19,930,336","34.09",
18,034730,SK,"276,500","-3,500","-1.2","146,074","40,221,770,500","278,500","280,000","271,500","19,454,622,120,500","1.01","70,360,297","17,594,142","25.01",
19,096770,SK이노베이션,"206,000","-1,500","-0.7","168,517","34,760,754,500","206,000","207,500","205,500","19,047,906,184,000","0.99","92,465,564","38,228,425","41.34",
20,017670,SK텔레콤,"222,500","-500","-0.2","114,219","25,454,329,000","222,500","224,000","222,000","17,965,920,697,500","0.93","80,745,711","33,087,958","40.98",
21,018260,삼성에스디에스,"226,500","4,500","2.0","96,959","21,843,897,500","222,500","228,000","222,000","17,526,071,700,000","0.91","77,377,800","9,103,592","11.77",
22,066570,LG전자,"90,400","1,400","1.6","736,301","66,402,843,400","89,400","90,800","89,200","14,793,762,385,600","0.77","163,647,814","58,006,733","35.45",
23,006400,삼성SDI,"215,000","-4,000","-1.8","327,625","70,238,057,848","217,500","218,000","213,000","14,784,373,950,000","0.76","68,764,530","27,650,375","40.21",
24,091990,셀트리온헬스케어,"97,500","-500","-0.5","430,095","42,220,552,400","99,200","100,100","96,500","13,700,331,840,000","0.71","140,516,224","46,178,062","32.86",
25,000270,기아차,"33,100","-650","-1.9","866,388","28,836,235,800","33,850","33,850","33,050","13,417,526,785,700","0.69","405,363,347","156,390,961","38.58",
26,086790,하나금융지주,"44,550","250","0.6","1,440,328","64,089,809,750","44,450","45,150","43,700","13,375,783,862,100","0.69","300,242,062","215,545,962","71.79",
27,033780,KT&G,"97,200","1,200","1.2","210,104","20,377,869,100","96,000","97,500","95,900","13,344,830,708,400","0.69","137,292,497","73,133,692","53.27",
28,003550,LG,"77,000","800","1.0","240,752","18,447,493,312","76,200","77,000","76,000","13,286,899,087,000","0.69","172,557,131","58,348,139","33.81",
29,251270,넷마블,"152,000","-5,000","-3.2","244,202","37,348,946,000","156,000","156,500","150,500","12,944,845,008,000","0.67","85,163,454","22,104,879","25.96",
30,011170,롯데케미칼,"372,500","-4,000","-1.1","92,855","34,695,042,000","379,500","383,500","370,500","12,767,593,577,500","0.66","34,275,419","11,092,086","32.36",
31,000810,삼성화재,"262,000","1,000","0.4","104,892","27,338,110,500","258,500","263,000","257,500","12,412,207,294,000","0.64","47,374,837","24,212,347","51.11",
32,010950,S-Oil,"109,500","-500","-0.4","198,957","21,694,103,000","110,000","110,000","108,500","12,327,815,724,000","0.64","112,582,792","86,026,866","76.41",
33,000030,우리은행,"16,050","100","0.6","1,522,759","24,469,939,000","16,000","16,150","15,900","10,849,800,000,000","0.56","676,000,000","175,396,736","25.95",
34,002790,아모레G,"126,500","0","0.0","85,748","10,821,431,500","126,000","127,500","124,500","10,430,959,770,000","0.54","82,458,180","16,828,599","20.41",
35,009150,삼성전기,"139,000","-1,500","-1.1","401,539","55,981,332,000","141,000","141,000","138,000","10,382,423,744,000","0.54","74,693,696","21,155,850","28.32",
36,024110,기업은행,"16,000","100","0.6","659,186","10,534,759,150","16,000","16,050","15,750","8,959,661,040,000","0.46","559,978,815","134,135,653","23.95",
37,035720,카카오,"111,500","3,500","3.2","477,854","52,780,486,000","108,000","112,000","107,000","8,505,233,603,000","0.44","76,280,122","18,460,131","24.20",
38,009540,현대중공업,"121,000","3,000","2.5","230,443","27,631,476,000","118,000","121,500","116,000","8,369,016,546,000","0.43","69,165,426","11,348,421","16.41",
39,004020,현대제철,"62,700","2,100","3.5","911,668","55,842,772,900","60,700","62,900","59,000","8,367,050,719,500","0.43","133,445,785","30,630,680","22.95",
40,034220,LG디스플레이,"22,650","-450","-2.0","2,041,408","46,216,295,100","22,900","22,950","22,500","8,104,525,605,000","0.42","357,815,700","90,885,698","25.40",
41,000720,현대건설,"71,200","3,300","4.9","4,864,801","336,731,934,000","68,300","71,200","66,600","7,928,530,468,000","0.41","111,355,765","21,358,389","19.18",
42,010130,고려아연,"416,500","-5,000","-1.2","19,040","7,954,737,500","421,000","422,500","416,000","7,859,355,000,000","0.41","18,870,000","4,764,272","25.25",
43,036570,엔씨소프트,"356,500","-7,000","-1.9","79,083","28,353,305,500","364,500","366,000","355,500","7,821,261,343,000","0.40","21,939,022","10,693,653","48.74",
44,030200,KT,"27,350","150","0.6","271,199","7,402,362,900","27,200","27,350","27,100","7,141,407,948,800","0.37","261,111,808","127,944,785","49.00",
45,021240,코웨이,"91,500","1,600","1.8","159,934","14,495,225,800","89,900","91,500","89,300","6,752,665,138,500","0.35","73,799,619","44,363,268","60.11",
46,139480,이마트,"242,000","0","0.0","79,398","19,241,046,500","241,500","247,000","240,500","6,745,948,198,000","0.35","27,875,819","13,651,599","48.97",
47,004990,롯데지주,"58,200","-200","-0.3","149,331","8,715,197,400","58,200","58,900","58,100","6,613,610,194,800","0.34","113,635,914","14,192,909","12.49",
48,023530,롯데쇼핑,"227,000","0","0.0","74,186","16,737,605,000","228,500","228,500","223,500","6,383,704,669,000","0.33","28,122,047","5,795,560","20.61",
49,267250,현대중공업지주,"386,500","-7,500","-1.9","59,549","22,888,914,500","388,000","392,000","382,000","6,294,777,470,500","0.33","16,286,617","3,526,238","21.65",
50,006800,미래에셋대우,"9,390","0","0.0","1,394,873","13,082,758,190","9,400","9,440","9,320","6,256,711,071,120","0.32","666,316,408","80,034,851","12.01",
51,035250,강원랜드,"27,300","350","1.3","911,917","24,982,061,450","27,150","27,750","26,850","5,840,575,650,000","0.30","213,940,500","60,262,366","28.17",
52,018880,한온시스템,"10,900","-250","-2.2","1,295,967","14,087,262,550","11,100","11,100","10,700","5,818,420,000,000","0.30","533,800,000","106,774,791","20.00",
53,161390,한국타이어,"46,350","650","1.4","288,887","13,347,200,350","45,200","46,600","45,150","5,741,609,448,150","0.30","123,875,069","50,390,473","40.68",
54,036460,한국가스공사,"61,600","900","1.5","364,448","22,393,021,800","61,300","62,300","60,300","5,686,480,800,000","0.29","92,313,000","10,841,329","11.74",
55,271560,오리온,"141,500","-3,000","-2.1","79,701","11,301,610,500","144,500","144,500","140,000","5,593,990,391,500","0.29","39,533,501","15,955,911","40.36",
56,215600,신라젠,"80,500","2,000","2.6","2,110,623","171,776,545,900","83,100","83,900","79,300","5,585,575,656,500","0.29","69,386,033","5,435,629","7.83",
57,097950,CJ제일제당,"364,000","6,500","1.8","71,081","25,751,345,000","357,500","366,000","352,500","5,479,359,704,000","0.28","15,053,186","3,114,662","20.69",
58,032640,LG유플러스,"12,500","100","0.8","2,480,314","31,383,075,300","12,400","12,800","12,400","5,457,642,012,500","0.28","436,611,361","163,980,025","37.56",
59,078930,GS,"58,200","-600","-1.0","122,138","7,106,322,000","58,400","58,700","58,000","5,407,674,999,600","0.28","92,915,378","18,416,836","19.82",
60,071050,한국금융지주,"94,900","1,600","1.7","149,234","14,022,314,000","92,700","96,000","92,600","5,288,396,640,800","0.27","55,725,992","19,530,032","35.05",
61,128940,한미약품,"455,000","-16,000","-3.4","99,921","45,694,775,000","471,500","474,000","452,000","5,180,489,405,000","0.27","11,385,691","1,426,220","12.53",
62,086280,현대글로비스,"136,500","-1,500","-1.1","107,221","14,589,513,750","138,000","138,000","134,500","5,118,750,000,000","0.26","37,500,000","12,398,809","33.06",
63,008770,호텔신라,"129,500","3,000","2.4","251,980","32,443,400,500","126,500","129,500","126,500","5,082,631,669,500","0.26","39,248,121","13,164,409","33.54",
64,088350,한화생명,"5,660","-10","-0.2","775,923","4,380,988,650","5,690","5,700","5,620","4,915,879,800,000","0.25","868,530,000","157,131,123","18.09",
65,010140,삼성중공업,"7,570","-30","-0.4","1,963,843","14,834,603,340","7,620","7,630","7,450","4,769,100,000,000","0.25","630,000,000","108,711,331","17.26",
66,004800,효성,"134,000","0","0.0","0","0","0","0","0","4,705,738,970,000","0.24","35,117,455","6,671,504","19.00",
67,005940,NH투자증권,"16,200","250","1.6","803,328","12,966,828,750","16,050","16,250","16,000","4,558,823,969,400","0.24","281,408,887","40,871,959","14.52",
68,029780,삼성카드,"37,700","-250","-0.7","109,932","4,130,429,750","37,550","37,950","37,350","4,367,880,190,700","0.23","115,858,891","14,639,996","12.64",
69,004170,신세계,"440,000","4,500","1.0","81,319","35,404,704,000","432,000","443,000","428,500","4,331,879,640,000","0.22","9,845,181","3,058,348","31.06",
70,047810,한국항공우주,"44,400","-850","-1.9","427,947","19,080,744,700","45,450","45,500","44,150","4,327,894,750,800","0.22","97,475,107","14,334,613","14.71",
71,086900,메디톡스,"765,100","-6,300","-0.8","15,633","11,881,330,000","768,200","773,000","750,100","4,327,814,928,500","0.22","5,656,535","2,748,777","48.59",
72,005830,DB손해보험,"61,000","800","1.3","108,048","6,548,891,100","59,500","61,200","59,300","4,318,800,000,000","0.22","70,800,000","34,290,746","48.43",
